date_time,eurt,a3crv,eurt_percent,a3crv_percent,ideal
2022-08-10T00:00:00+00:00,4266289.438326000000000000000000,3790933.8675193491662085420000000000,0.529498721380962,0.470501278619038,0.5
2022-08-09T00:00:00+00:00,4304232.403408000000000000000000,3768634.2254774356021399420000000000,0.533172737922744,0.466827262077256,0.5
2022-08-08T00:00:00+00:00,4316007.372364000000000000000000,3756771.9466735906721821260000000000,0.5346371059822975,0.4653628940177025,0.5
2022-08-07T00:00:00+00:00,4315182.936221000000000000000000,3758837.3402909776660723260000000000,0.5344528238025659,0.46554717619743413,0.5
2022-08-06T00:00:00+00:00,4269658.069655000000000000000000,3724674.9958675168524955260000000000,0.5340855872103861,0.4659144127896138,0.5
2022-08-05T00:00:00+00:00,4264465.509601000000000000000000,3744929.5357087308968357260000000000,0.5324329097861459,0.46756709021385406,0.5
2022-08-04T00:00:00+00:00,4273508.045991000000000000000000,3763836.7244287634664594260000000000,0.5317064488410405,0.46829355115895954,0.5
2022-08-03T00:00:00+00:00,4292800.408443000000000000000000,3747375.9035041842416220260000000000,0.5339186905720184,0.4660813094279817,0.5
2022-08-02T00:00:00+00:00,4320245.027946000000000000000000,3794879.7911226385684881260000000000,0.5323695105458438,0.46763048945415625,0.5
2022-08-01T00:00:00+00:00,4323948.551172000000000000000000,3819495.9310992941552754260000000000,0.5309729268229756,0.4690270731770244,0.5
2022-07-31T00:00:00+00:00,4348433.174846000000000000000000,3819890.8860007086749632490000000000,0.5323531660171734,0.4676468339828266,0.5
2022-07-30T00:00:00+00:00,4367873.724614000000000000000000,3839997.2244108635251622490000000000,0.532156725141119,0.467843274858881,0.5
2022-07-29T00:00:00+00:00,4368461.319024000000000000000000,3845729.2103159259899077510000000000,0.5318188448904946,0.46818115510950536,0.5
2022-07-28T00:00:00+00:00,4379516.302762000000000000000000,3835768.7247797480124013510000000000,0.5330936526340436,0.4669063473659564,0.5
2022-07-27T00:00:00+00:00,4364609.281623000000000000000000,3856593.8281766035420385500000000000,0.5308966611493181,0.46910333885068195,0.5
2022-07-26T00:00:00+00:00,4393123.962540000000000000000000,3831122.6254483387886726500000000000,0.5341673447579061,0.4658326552420939,0.5
2022-07-25T00:00:00+00:00,4388939.737983000000000000000000,3875161.2140246362966879500000000000,0.5310849617485341,0.46891503825146585,0.5
