date_time,deusdc,am3crv,deusdc_percent,am3crv_percent,ideal
2022-08-10T00:00:00+00:00,110503.85255300000000000000,136404.459486968848942469000000,0.44755015187626385,0.5524498481237362,0.5
2022-08-09T00:00:00+00:00,130794.12144900000000000000,117213.573618426962295693000000,0.5273792872170374,0.4726207127829626,0.5
2022-08-08T00:00:00+00:00,132681.47745800000000000000,115409.673868674166747993000000,0.5348093906150307,0.4651906093849692,0.5
2022-08-07T00:00:00+00:00,147824.06766000000000000000,101100.693546319469618225000000,0.593850394567526,0.406149605432474,0.5
2022-08-06T00:00:00+00:00,128391.66991800000000000000,119459.974719274421334378000000,0.5180182286298664,0.4819817713701337,0.5
2022-08-05T00:00:00+00:00,120255.07226500000000000000,128116.390614959242667641000000,0.48417427215911935,0.5158257278408807,0.5
2022-08-04T00:00:00+00:00,125393.11924800000000000000,123248.171871337709672298000000,0.5043133370306399,0.49568666296936015,0.5
2022-08-03T00:00:00+00:00,132552.18980100000000000000,116474.219741423449865698000000,0.5322816565703196,0.4677183434296804,0.5
2022-08-02T00:00:00+00:00,115300.18539800000000000000,132741.994285132365490225000000,0.4648410425408013,0.5351589574591987,0.5
2022-08-01T00:00:00+00:00,353749.78363200000000000000,383219.709553373908582808000000,0.4800060069013188,0.5199939930986812,0.5
2022-07-31T00:00:00+00:00,364512.66244600000000000000,374554.982124043266253586000000,0.4932060889474566,0.5067939110525433,0.5
2022-07-30T00:00:00+00:00,364263.28254200000000000000,374775.225435150978954896000000,0.49288809528888855,0.5071119047111114,0.5
2022-07-29T00:00:00+00:00,349698.11791100000000000000,388524.581342651358822924000000,0.47370274344658786,0.5262972565534121,0.5
2022-07-28T00:00:00+00:00,361358.50552700000000000000,379106.999302380303155342000000,0.48801531356989414,0.5119846864301059,0.5
2022-07-27T00:00:00+00:00,348340.13936500000000000000,389762.194478898272932912000000,0.47194016790450993,0.52805983209549,0.5
2022-07-26T00:00:00+00:00,378562.13040600000000000000,361167.896512063452557629000000,0.511757150082447,0.48824284991755296,0.5
2022-07-25T00:00:00+00:00,389247.68677900000000000000,351052.920345566329213248000000,0.5257967952922447,0.4742032047077554,0.5
2022-07-24T00:00:00+00:00,376320.43891200000000000000,363240.990400815644678698000000,0.5088427059557024,0.49115729404429764,0.5
2022-07-23T00:00:00+00:00,371290.17501700000000000000,367998.883761211159670305000000,0.5022259840157977,0.4977740159842023,0.5
2022-07-22T00:00:00+00:00,369732.67873900000000000000,369457.282053145426382086000000,0.500186282755761,0.4998137172442389,0.5
2022-07-21T00:00:00+00:00,348333.46464600000000000000,389669.898052964855360986000000,0.47199441391717195,0.528005586082828,0.5
2022-07-20T00:00:00+00:00,369163.08728400000000000000,369958.132893342531129986000000,0.4994621683239241,0.5005378316760759,0.5
2022-07-19T00:00:00+00:00,355620.88751100000000000000,382743.567363889177356445000000,0.4816332708909417,0.5183667291090583,0.5
2022-07-18T00:00:00+00:00,379302.32847200000000000000,360338.414823292870212253000000,0.5128196788918211,0.4871803211081789,0.5
