date_time,axlusdc,usdc,axlusdc_percent,usdc_percent,ideal
2022-08-10T00:00:00+00:00,2967187.075650000000000000000000,3041294.290801000000000000000000,0.4938331160045876,0.5061668839954123,0.5
2022-08-09T00:00:00+00:00,2961709.018064000000000000000000,3046671.946969000000000000000000,0.4929296320090671,0.507070367990933,0.5
2022-08-08T00:00:00+00:00,2851770.262414000000000000000000,3156453.876941000000000000000000,0.4746444533808863,0.5253555466191137,0.5
2022-08-07T00:00:00+00:00,2986324.794115000000000000000000,3021759.933164000000000000000000,0.49705104532829647,0.5029489546717035,0.5
2022-08-06T00:00:00+00:00,3015491.191477000000000000000000,2992543.330730000000000000000000,0.5019097643881855,0.4980902356118145,0.5
2022-08-05T00:00:00+00:00,3058749.478187000000000000000000,2949260.818629000000000000000000,0.5091118901390719,0.4908881098609281,0.5
2022-08-04T00:00:00+00:00,3006377.616460000000000000000000,3001562.685004000000000000000000,0.5004007139896869,0.49959928601031317,0.5
2022-08-03T00:00:00+00:00,2939362.060135000000000000000000,3068534.074526000000000000000000,0.48924981295483994,0.5107501870451601,0.5
2022-08-02T00:00:00+00:00,2951196.549152000000000000000000,3056604.134662000000000000000000,0.4912274398688038,0.5087725601311962,0.5
2022-08-01T00:00:00+00:00,2948362.173925000000000000000000,3059329.757537000000000000000000,0.49076454111845613,0.5092354588815439,0.5
2022-07-31T00:00:00+00:00,3035273.023659000000000000000000,2972271.840215000000000000000000,0.5052435050317189,0.49475649496828117,0.5
2022-07-30T00:00:00+00:00,3066135.025511000000000000000000,2941370.903431000000000000000000,0.5103840198874321,0.4896159801125679,0.5
2022-07-29T00:00:00+00:00,3092358.488280000000000000000000,2915095.650698000000000000000000,0.514753573933413,0.48524642606658697,0.5
2022-07-28T00:00:00+00:00,3075249.290767000000000000000000,2932147.292277000000000000000000,0.5119104837271696,0.48808951627283037,0.5
2022-07-27T00:00:00+00:00,3091396.324748000000000000000000,2915883.990091000000000000000000,0.5146083023813168,0.4853916976186832,0.5
2022-07-26T00:00:00+00:00,3049319.939361000000000000000000,2957880.840541000000000000000000,0.5076107909632323,0.49238920903676775,0.5
2022-07-25T00:00:00+00:00,3125243.365435000000000000000000,2881887.197781000000000000000000,0.520255608321897,0.47974439167810295,0.5
2022-07-24T00:00:00+00:00,3148880.889064000000000000000000,2858204.583730000000000000000000,0.5241944539203303,0.4758055460796697,0.5
2022-07-23T00:00:00+00:00,3204996.022580000000000000000000,2802028.710276000000000000000000,0.5335413395336905,0.4664586604663094,0.5
2022-07-22T00:00:00+00:00,3116739.964727000000000000000000,2890170.338510000000000000000000,0.5188590818556843,0.4811409181443157,0.5
2022-07-21T00:00:00+00:00,3148857.190476000000000000000000,2857958.679756000000000000000000,0.5242140359388746,0.4757859640611254,0.5
2022-07-20T00:00:00+00:00,3150374.845229000000000000000000,2856374.273282000000000000000000,0.524472519672994,0.475527480327006,0.5
2022-07-19T00:00:00+00:00,3160935.532311000000000000000000,2845746.314336000000000000000000,0.5262365500639045,0.47376344993609554,0.5
2022-07-18T00:00:00+00:00,3203413.553568000000000000000000,2803194.873654000000000000000000,0.5333148635176721,0.4666851364823279,0.5
2022-07-17T00:00:00+00:00,3194667.695570000000000000000000,2811839.600469000000000000000000,0.5318677790796539,0.4681322209203461,0.5
2022-07-16T00:00:00+00:00,3169283.124980000000000000000000,2837163.344965000000000000000000,0.5276469441355099,0.4723530558644901,0.5
