date_time,frax,am3crv,frax_percent,am3crv_percent,ideal
2022-08-10T00:00:00+00:00,7089.742793148487826840000000000000000000,5941.2693050198554125290000000000,0.5440669335381119,0.45593306646188814,0.5
2022-08-09T00:00:00+00:00,7146.181239653211046640000000000000000000,5888.0761242796803764290000000000,0.5482614805065471,0.4517385194934529,0.5
2022-08-08T00:00:00+00:00,7033.810045835468354740000000000000000000,5992.9159118432822285770000000000,0.5399522542108371,0.4600477457891628,0.5
2022-08-07T00:00:00+00:00,6599.774661042252948240000000000000000000,5599.6936411973475182770000000000,0.5409887134040632,0.45901128659593676,0.5
2022-08-06T00:00:00+00:00,6561.405491309842037440000000000000000000,5635.6805190619066138770000000000,0.5379486121300099,0.46205138786999006,0.5
2022-08-05T00:00:00+00:00,6560.907584003086366940000000000000000000,5635.8433526363708322770000000000,0.5379225679105979,0.46207743208940216,0.5
2022-08-04T00:00:00+00:00,6566.138258667241010840000000000000000000,5630.8879319204407782770000000000,0.5383392768094785,0.4616607231905215,0.5
2022-08-03T00:00:00+00:00,10168230.580970300606944540000000000000000000,7823780.2206960177405343770000000000,0.5651525387050443,0.4348474612949556,0.5
2022-08-02T00:00:00+00:00,10145649.979860896436435540000000000000000000,7845084.0186102231199526660000000000,0.5639375236565162,0.43606247634348383,0.5
2022-08-01T00:00:00+00:00,10138067.965730469548443740000000000000000000,7852234.4385874749578494660000000000,0.5635296026651103,0.43647039733488974,0.5
2022-07-31T00:00:00+00:00,10139652.752138756603961559000000000000000000,7850735.6180309561679985520000000000,0.5636150006050761,0.4363849993949239,0.5
2022-07-30T00:00:00+00:00,10139688.543600036883465559000000000000000000,7850701.8337853589824589520000000000,0.563616927198312,0.43638307280168803,0.5
2022-07-29T00:00:00+00:00,10136089.486929363904524859000000000000000000,7854096.5512033905143234520000000000,0.5634232723021587,0.43657672769784134,0.5
2022-07-28T00:00:00+00:00,10173168.740274399565090559000000000000000000,7819092.9557236310817183500000000000,0.5654191180721426,0.4345808819278574,0.5
2022-07-27T00:00:00+00:00,10264743.656195978375834733000000000000000000,7732646.1541266897950173620000000000,0.5703462426706168,0.4296537573293832,0.5
2022-07-26T00:00:00+00:00,10241367.182255700874203733000000000000000000,7754715.4395767883932265610000000000,0.5690886954381438,0.4309113045618563,0.5
2022-07-25T00:00:00+00:00,10238738.099823161062726333000000000000000000,7757195.3878562534650010610000000000,0.568947318394621,0.4310526816053791,0.5
2022-07-24T00:00:00+00:00,10239589.989929169956651333000000000000000000,7756391.0554012515734514610000000000,0.5689931526453862,0.43100684735461375,0.5
2022-07-23T00:00:00+00:00,10114315.375561177288275922000000000000000000,7874577.8775686014306715210000000000,0.5622533433957339,0.43774665660426615,0.5
2022-07-22T00:00:00+00:00,10116986.246643690191170522000000000000000000,7872055.8283521013208267210000000000,0.5623971640327634,0.43760283596723665,0.5
2022-07-21T00:00:00+00:00,10122957.049703985855536297000000000000000000,7866421.3950454852173445750000000000,0.5627185553294397,0.43728144467056024,0.5
2022-07-20T00:00:00+00:00,10173154.940327659176155707000000000000000000,7819029.3390799381568147030000000000,0.5654207839551216,0.43457921604487837,0.5
2022-07-19T00:00:00+00:00,10371392.509007902984004165000000000000000000,7631843.0652397955841789100000000000,0.5760849190821796,0.4239150809178204,0.5
2022-07-18T00:00:00+00:00,10479705.260466774427224700000000000000000000,7529572.0534934418154322940000000000,0.581905929803371,0.41809407019662903,0.5
2022-07-17T00:00:00+00:00,10502493.065798514285681100000000000000000000,7508061.8884534857916837790000000000,0.5831298975781446,0.41687010242185535,0.5
2022-07-16T00:00:00+00:00,10510168.8391322338767874520000000000,7501044.0963488202008992250000000000,0.583534761194667,0.41646523880533304,0.5
2022-07-15T00:00:00+00:00,10493781.980200534243050580000000,7515655.018913000895077312000000,0.5826824003835912,0.4173175996164088,0.5
2022-07-14T00:00:00+00:00,10472839.829747489421203980000000,7535408.949304526441233412000000,0.5815579270500725,0.4184420729499275,0.5
2022-07-13T00:00:00+00:00,10456602.036300306640810180000000,7550724.913337345113492012000000,0.5806859655264224,0.41931403447357757,0.5
2022-07-12T00:00:00+00:00,10457493.953542355421080780000000,7549881.652186942698667012000000,0.5807339271701067,0.41926607282989325,0.5
2022-07-11T00:00:00+00:00,10471330.960815185036999480000000,7536814.737799735160410812000000,0.5814774678117235,0.41852253218827645,0.5
2022-07-10T00:00:00+00:00,10482142.492605862369979280000000,7526603.722440077042615312000000,0.5820584269130433,0.4179415730869567,0.5
2022-07-09T00:00:00+00:00,10511932.187523233511384680000000,7498466.050922137175940012000000,0.5836590645221961,0.41634093547780393,0.5
2022-07-08T00:00:00+00:00,10572479.967107973490790180000000,7441289.744939175484093912000000,0.5869110206309215,0.41308897936907846,0.5
2022-07-07T00:00:00+00:00,10638968.324588146085632180000000,7378488.928942394732372312000000,0.5904811192213834,0.4095188807786166,0.5
2022-07-06T00:00:00+00:00,10729574.809268395936590080000000,7292935.905822666181429469000000,0.5953429563109671,0.4046570436890328,0.5
2022-07-05T00:00:00+00:00,10983176.805606267355750980000000,7053519.688125210243522169000000,0.6089350568948915,0.3910649431051085,0.5
2022-07-04T00:00:00+00:00,10975111.416326807697540280000000,7061121.262242615866881769000000,0.6085035390659708,0.39149646093402923,0.5
2022-07-03T00:00:00+00:00,10965120.453222237302275480000000,7070543.799214231834927369000000,0.6079687612138234,0.3920312387861767,0.5
2022-07-02T00:00:00+00:00,10964977.096488577495177880000000,7070677.268360629772426669000000,0.6079611459986112,0.3920388540013888,0.5
