date_time,mimatic,am3crv,mimatic_percent,am3crv_percent,ideal
2022-08-10T00:00:00+00:00,5412372.046821102482468830000000000000000000,2597166.954174157847917294000000,0.6757407693686945,0.32425923063130546,0.5
2022-08-09T00:00:00+00:00,5681248.878845215401584071000000000000000000,2348039.923849121401915294000000,0.7075656410489053,0.29243435895109476,0.5
2022-08-08T00:00:00+00:00,5457490.849779058306938399000000000000000000,2576164.405688337959243784000000,0.679328484510821,0.32067151548917905,0.5
2022-08-07T00:00:00+00:00,5448323.965759870187639978000000000000000000,2627020.644978385945747535000000,0.674686249118696,0.325313750881304,0.5
2022-08-06T00:00:00+00:00,5590432.975523794993082638000000000000000000,2577697.337367767039360578000000,0.6844201501903747,0.31557984980962533,0.5
2022-08-05T00:00:00+00:00,5531720.864901638786532504000000000000000000,2613659.385286057080038194000000,0.6791237112317955,0.3208762887682045,0.5
2022-08-04T00:00:00+00:00,5777306.002762876743482702000000000000000000,2383763.179475576690381375000000,0.7079104310666133,0.2920895689333867,0.5
2022-08-03T00:00:00+00:00,5796484.769357583772019713000000000000000000,2363589.242143802098091312000000,0.7103470827822894,0.2896529172177105,0.5
2022-08-02T00:00:00+00:00,5714107.141053060078747903000000000000000000,2442768.645149035226035035000000,0.7005264381638442,0.2994735618361558,0.5
2022-08-01T00:00:00+00:00,5714706.409345901719025184000000000000000000,2451213.135701196361142713000000,0.6998239913852765,0.30017600861472343,0.5
2022-07-31T00:00:00+00:00,5692381.959566782652097915000000000000000000,2467784.275133798732898814000000,0.6975816173156246,0.3024183826843754,0.5
2022-07-30T00:00:00+00:00,5552652.764613088003538067000000000000000000,2582156.318995802275238714000000,0.6825793583528986,0.3174206416471013,0.5
2022-07-29T00:00:00+00:00,5571005.670192294523337586000000000000000000,2571471.710645856358554848000000,0.6841904999702731,0.31580950002972685,0.5
2022-07-28T00:00:00+00:00,5320663.016671229670500734000000000000000000,2744843.208673770022123012000000,0.6596812237217807,0.3403187762782193,0.5
2022-07-27T00:00:00+00:00,5632896.613040580962775108000000000000000000,2456244.384539903199243714000000,0.6963528778550674,0.3036471221449326,0.5
2022-07-26T00:00:00+00:00,5536200.000376381675913379000000000000000000,2539717.230659724633596150000000,0.6855196557860351,0.31448034421396487,0.5
2022-07-25T00:00:00+00:00,5573646.702500984136442967000000000000000000,2579615.331968936670554600000000,0.6836094165668933,0.31639058343310666,0.5
2022-07-24T00:00:00+00:00,5521962.849085256814305231000000000000000000,2490324.296906020729688651000000,0.6891868387228253,0.3108131612771747,0.5
2022-07-23T00:00:00+00:00,5520344.567399376828890360000000000000000000,2462705.746336082845248133000000,0.6915081767555935,0.30849182324440644,0.5
2022-07-22T00:00:00+00:00,5514296.332652854494211134000000000000000000,2517293.867794186752981069000000,0.6865759077630638,0.31342409223693624,0.5
2022-07-21T00:00:00+00:00,5552711.600802374742353103000000000000000000,2435784.639434371122607900000000,0.6950884664418163,0.30491153355818373,0.5
2022-07-20T00:00:00+00:00,5378276.564811877491689646000000000000000000,2542936.201105340552798054000000,0.6789713549865887,0.32102864501341133,0.5
2022-07-19T00:00:00+00:00,5282430.461055761462913603000000000000000000,2298196.049962437024616463000000,0.6968329666918582,0.3031670333081418,0.5
2022-07-18T00:00:00+00:00,5098890.929380197280492303000000000000000000,2410130.402305298532976281000000,0.6790353501680206,0.32096464983197937,0.5
2022-07-17T00:00:00+00:00,4494965.509454759851678229000000000000000000,1751464.947912208864861325000000,0.7196054674959919,0.28039453250400814,0.5
2022-07-16T00:00:00+00:00,4489592.975261137879033303000000000000000000,1738807.627201825001426569000000,0.720825981149281,0.279174018850719,0.5
2022-07-15T00:00:00+00:00,4542619.859272127895307154000000000000000000,1658892.463420397265234918000000,0.7325019483795604,0.2674980516204396,0.5
2022-07-14T00:00:00+00:00,4459352.371708554181004835000000000000000000,1594403.869325393988490676000000,0.7366256905889097,0.2633743094110903,0.5
2022-07-13T00:00:00+00:00,4476357.773338056399171453000000000000000000,1530220.349437892505966029000000,0.7452425793588615,0.2547574206411385,0.5
2022-07-12T00:00:00+00:00,4713075.510412209179319467000000000000000000,1739981.316131709631550429000000,0.7303632428937409,0.26963675710625906,0.5
2022-07-11T00:00:00+00:00,4630232.701209744414230482000000000000000000,1816692.196938979927896579000000,0.7182079478759471,0.28179205212405295,0.5
2022-07-10T00:00:00+00:00,4458446.320887377380327727000000000000000000,1940916.337507041653157323000000,0.6967016184086664,0.3032983815913336,0.5
2022-07-09T00:00:00+00:00,4462520.553900801293797945000000000000000000,1878467.902463085764561666000000,0.703757873809432,0.296242126190568,0.5
2022-07-08T00:00:00+00:00,4341055.359147587271105819000000000000000000,1887815.623238843320224666000000,0.6969249116610253,0.3030750883389747,0.5
2022-07-07T00:00:00+00:00,4291991.780817369752040765000000000000000000,1724767.818986773746182066000000,0.7133394162793345,0.28666058372066555,0.5
2022-07-06T00:00:00+00:00,4285626.877770265101713138000000000000000000,1601014.917148266784092906000000,0.728025761898695,0.2719742381013051,0.5
2022-07-05T00:00:00+00:00,4346502.284559969627186517000000000000000000,1595733.258534514615338066000000,0.7314591037393448,0.2685408962606553,0.5
2022-07-04T00:00:00+00:00,4105461.356348626252743313000000000000000000,1744766.521882055551232780000000,0.7017609299674433,0.2982390700325566,0.5
2022-07-03T00:00:00+00:00,3985815.083710495057010455000000000000000000,1692608.928284457376452580000000,0.7019227650649132,0.29807723493508675,0.5
2022-07-02T00:00:00+00:00,3933721.852293474696093162000000000000000000,1528548.442766188454961446000000,0.7201624306016712,0.2798375693983288,0.5
