date_time,dai,usdc,usdt,dai_percent,usdc_percent,usdt_percent,ideal
2022-06-14T00:00:00+00:00,8960187.980622271923141624000000000000000000,8174737.419145000000000000000000,38027509.658194000000000000000000,0.16243278548540255,0.1481939187520546,0.6893732957625429,0.33
2022-06-13T00:00:00+00:00,9157646.164339318600301677000000000000000000,7265011.609046000000000000000000,40337477.064680000000000000000000,0.16133940115656462,0.12799496741459168,0.7106656314288438,0.33
2022-06-12T00:00:00+00:00,11585049.135160342356439875000000000000000000,8160532.601095000000000000000000,39622896.754820000000000000000000,0.19513805018435637,0.1374556466412011,0.6674063031744425,0.33
2022-06-11T00:00:00+00:00,13362251.886797727387350193000000000000000000,8081557.933710000000000000000000,38782418.477872000000000000000000,0.2218676524220796,0.13418668513776777,0.6439456624401526,0.33
2022-06-10T00:00:00+00:00,15443225.661038604931083806000000000000000000,11161418.324170000000000000000000,40316479.137220000000000000000000,0.2307675804063547,0.16678468327183907,0.6024477363218063,0.33
2022-06-09T00:00:00+00:00,15034355.946175711539504775000000000000000000,13208251.715136000000000000000000,41400083.705995000000000000000000,0.21587844540473183,0.18965739915870805,0.5944641554365601,0.33
2022-06-08T00:00:00+00:00,14653766.546692616932396743000000000000000000,13503300.069332000000000000000000,42170551.774072000000000000000000,0.20836432232654886,0.19200564982068988,0.5996300278527613,0.33
2022-06-07T00:00:00+00:00,14014587.284059549652315279000000000000000000,13338190.300098000000000000000000,44017815.159227000000000000000000,0.19636361063231583,0.18688636015755014,0.616750029210134,0.33
2022-06-06T00:00:00+00:00,13826469.532938761362672922000000000000000000,13085978.187355000000000000000000,44740562.446006000000000000000000,0.1929642523161114,0.18262984565454682,0.6244059020293418,0.33
2022-06-05T00:00:00+00:00,13765940.794457594285299353000000000000000000,12603674.101481000000000000000000,44742395.486327000000000000000000,0.19358109439542212,0.1772369257138059,0.629181979890772,0.33
2022-06-04T00:00:00+00:00,13881602.339635607480471848000000000000000000,12352397.087837000000000000000000,44778058.273517000000000000000000,0.19548232777716223,0.17394788276449086,0.630569789458347,0.33
2022-06-03T00:00:00+00:00,13642545.607429186827582275000000000000000000,11152116.009562000000000000000000,45628241.559002000000000000000000,0.1937231354029134,0.15835921989316254,0.6479176447039241,0.33
2022-06-02T00:00:00+00:00,13685131.074169222722560267000000000000000000,11785186.691753000000000000000000,42919473.560843000000000000000000,0.20010488127945744,0.17232377030430734,0.6275713484162352,0.33
2022-06-01T00:00:00+00:00,13556274.818520476123112262000000000000000000,11230500.947246000000000000000000,43113510.137171000000000000000000,0.19964974577425174,0.16539696111589053,0.6349532931098577,0.33
2022-05-31T00:00:00+00:00,13242083.106177312135354302000000000000000000,12418666.783912000000000000000000,44062989.150625000000000000000000,0.18992215977466098,0.1781124614768619,0.6319653787484771,0.33
