date_time,ambtc,renbtc,ambtc_percent,renbtc_percent,ideal
2021-09-24T00:00:00+00:00,564.4911569800000000000000000000,683.5667373500000000000000000000,0.4522956503416359,0.5477043496583641,0.5
2021-09-23T00:00:00+00:00,577.7663591700000000000000000000,683.7323539300000000000000000000,0.4579999592311911,0.5420000407688089,0.5
2021-09-22T00:00:00+00:00,602.5174129400000000000000000000,666.6480866200000000000000000000,0.4747351020405798,0.5252648979594202,0.5
2021-09-21T00:00:00+00:00,633.2217222800000000000000000000,752.0535385900000000000000000000,0.45710895167673404,0.542891048323266,0.5
2021-09-20T00:00:00+00:00,652.1477154100000000000000000000,751.1131408600000000000000000000,0.46473733839014814,0.5352626616098519,0.5
2021-09-19T00:00:00+00:00,668.5791217300000000000000000000,748.3404810200000000000000000000,0.4718539572975076,0.5281460427024923,0.5
2021-09-18T00:00:00+00:00,678.2702489300000000000000000000,744.9089366400000000000000000000,0.47658808940375613,0.5234119105962438,0.5
2021-09-17T00:00:00+00:00,698.8212177500000000000000000000,864.0377040300000000000000000000,0.44714286619939164,0.5528571338006084,0.5
2021-09-16T00:00:00+00:00,731.2154300200000000000000000000,866.3133427800000000000000000000,0.45771659482438837,0.5422834051756116,0.5
2021-09-15T00:00:00+00:00,810.0744362500000000000000000000,886.9279471800000000000000000000,0.47735609811735713,0.5226439018826429,0.5
2021-09-14T00:00:00+00:00,801.9488385600000000000000000000,913.1885429200000000000000000000,0.4675711970477809,0.5324288029522192,0.5
2021-09-13T00:00:00+00:00,802.6283082800000000000000000000,915.9373815700000000000000000000,0.46703382536983795,0.532966174630162,0.5
2021-09-12T00:00:00+00:00,788.7050586500000000000000000000,907.9452714500000000000000000000,0.46486010974548536,0.5351398902545146,0.5
2021-09-11T00:00:00+00:00,869.0642937500000000000000000000,910.5020157800000000000000000000,0.48835735375296463,0.5116426462470354,0.5
2021-09-10T00:00:00+00:00,862.8190692900000000000000000000,911.8981766600000000000000000000,0.48617269666984947,0.5138273033301505,0.5
2021-09-09T00:00:00+00:00,838.0952534900000000000000000000,923.9862333200000000000000000000,0.4756279773458453,0.5243720226541547,0.5
2021-09-08T00:00:00+00:00,805.2650275700000000000000000000,970.0604312700000000000000000000,0.4535872696244447,0.5464127303755554,0.5
2021-09-07T00:00:00+00:00,809.2161595100000000000000000000,968.7119976700000000000000000000,0.45514558968091856,0.5448544103190814,0.5
2021-09-06T00:00:00+00:00,809.2148309900000000000000000000,977.4779554000000000000000000000,0.45291212745365855,0.5470878725463415,0.5
2021-09-05T00:00:00+00:00,823.1819383400000000000000000000,975.7610082200000000000000000000,0.4575920208665408,0.5424079791334592,0.5
2021-09-04T00:00:00+00:00,799.2279963400000000000000000000,991.0422102000000000000000000000,0.4464286974225211,0.5535713025774789,0.5
2021-09-03T00:00:00+00:00,796.1501405000000000000000000000,991.7314810700000000000000000000,0.44530361009073594,0.5546963899092641,0.5
