time,wbtc,renbtc,wbtc_p,renbtc_p,ideal
2022-08-10T00:00:00+00:00,1785.3451566700000000000000000000,382.6933057100000000000000000000,0.8234840791108973,0.17651592088910273,0.50
2022-08-09T00:00:00+00:00,1771.6162122200000000000000000000,396.4302379200000000000000000000,0.8171486418594026,0.18285135814059741,0.50
2022-08-08T00:00:00+00:00,1630.9978919000000000000000000000,536.5623935000000000000000000000,0.7524579144976431,0.24754208550235693,0.50
2022-08-07T00:00:00+00:00,1419.0124153300000000000000000000,769.1272852200000000000000000000,0.6485017455573444,0.35149825444265553,0.50
2022-08-06T00:00:00+00:00,1418.0884841100000000000000000000,770.0501662500000000000000000000,0.6480798115223143,0.3519201884776857,0.50
2022-08-05T00:00:00+00:00,1417.0100982500000000000000000000,771.4806565000000000000000000000,0.6474827893032935,0.3525172106967065,0.50
2022-08-04T00:00:00+00:00,1407.7899892900000000000000000000,781.1837545100000000000000000000,0.643127855360254,0.35687214463974604,0.50
2022-08-03T00:00:00+00:00,1457.1321292500000000000000000000,732.9784131000000000000000000000,0.665323553799476,0.3346764462005239,0.50
2022-08-02T00:00:00+00:00,1488.5195486300000000000000000000,701.5386024700000000000000000000,0.6796712442920119,0.3203287557079881,0.50
2022-08-01T00:00:00+00:00,1581.0115962900000000000000000000,608.8112105400000000000000000000,0.7219815189424762,0.2780184810575238,0.50
2022-07-31T00:00:00+00:00,1597.5370918000000000000000000000,592.2753917700000000000000000000,0.7295314570476704,0.2704685429523295,0.50
2022-07-30T00:00:00+00:00,1645.5539254900000000000000000000,535.3003639200000000000000000000,0.7545455620215608,0.24545443797843922,0.50
2022-07-29T00:00:00+00:00,1724.1953613900000000000000000000,456.7038060300000000000000000000,0.7905892152867022,0.20941078471329777,0.50
2022-07-28T00:00:00+00:00,1752.7525374800000000000000000000,435.3117470800000000000000000000,0.8010516646372037,0.19894833536279638,0.50
2022-07-27T00:00:00+00:00,1746.6452505100000000000000000000,451.6616814100000000000000000000,0.7945411194170602,0.20545888058293976,0.50
2022-07-26T00:00:00+00:00,1746.6559173600000000000000000000,451.8943227700000000000000000000,0.7944580412484549,0.20554195875154507,0.50
2022-07-25T00:00:00+00:00,1526.8480642400000000000000000000,670.6817358800000000000000000000,0.6948019836439187,0.3051980163560814,0.50
2022-07-24T00:00:00+00:00,1569.0716427800000000000000000000,628.3728806600000000000000000000,0.7140438022634079,0.2859561977365921,0.50
2022-07-23T00:00:00+00:00,1692.5533617100000000000000000000,508.2787533500000000000000000000,0.7690515556039389,0.23094844439606113,0.50
2022-07-22T00:00:00+00:00,1707.6683440900000000000000000000,492.0700645400000000000000000000,0.7763051903764948,0.22369480962350513,0.50
2022-07-21T00:00:00+00:00,1751.2231971200000000000000000000,448.3551255500000000000000000000,0.7961631459407384,0.2038368540592615,0.50
2022-07-20T00:00:00+00:00,1781.3150483500000000000000000000,418.2912334600000000000000000000,0.8098335884384733,0.19016641156152672,0.50
2022-07-19T00:00:00+00:00,1820.6046823400000000000000000000,387.9076035800000000000000000000,0.8243579598569408,0.17564204014305917,0.50
2022-07-18T00:00:00+00:00,1824.1372058500000000000000000000,424.5349269000000000000000000000,0.8112063912221754,0.1887936087778246,0.50
2022-07-17T00:00:00+00:00,1818.8509485900000000000000000000,430.9562197400000000000000000000,0.8084474857194571,0.19155251428054285,0.50
2022-07-16T00:00:00+00:00,1815.7557542300000000000000000000,434.0375102100000000000000000000,0.8070767136383808,0.19292328636161912,0.50
2022-07-15T00:00:00+00:00,1885.6780620700000000000000000000,364.2354493000000000000000000000,0.8381113551879545,0.16188864481204548,0.50
2022-07-14T00:00:00+00:00,1830.6646027000000000000000000000,416.9384500800000000000000000000,0.814496403373229,0.1855035966267709,0.50
2022-07-13T00:00:00+00:00,1762.8675353900000000000000000000,484.4750521400000000000000000000,0.7844231427694899,0.21557685723051012,0.50
2022-07-12T00:00:00+00:00,1672.8340313400000000000000000000,572.6039597900000000000000000000,0.7449923079363945,0.2550076920636055,0.50
2022-07-11T00:00:00+00:00,952.4295533900000000000000000000,1293.7304537700000000000000000000,0.42402569289541975,0.5759743071045802,0.50
2022-07-10T00:00:00+00:00,1536.5223331100000000000000000000,1287.8891061900000000000000000000,0.5440150509696315,0.4559849490303684,0.50
2022-07-09T00:00:00+00:00,1553.2492180700000000000000000000,1267.6922241000000000000000000000,0.550613775546921,0.449386224453079,0.50
2022-07-08T00:00:00+00:00,1545.0599444600000000000000000000,1275.8765751200000000000000000000,0.5477117027397833,0.45228829726021663,0.50
2022-07-07T00:00:00+00:00,1628.4651860900000000000000000000,1290.9288212800000000000000000000,0.5578093200092024,0.44219067999079764,0.50
2022-07-06T00:00:00+00:00,1529.6773205800000000000000000000,1389.6416289100000000000000000000,0.5239843083426126,0.47601569165738744,0.50
2022-07-05T00:00:00+00:00,1486.0243873100000000000000000000,1433.4355982700000000000000000000,0.5090065952778511,0.4909934047221489,0.50
2022-07-04T00:00:00+00:00,1649.6010721700000000000000000000,1319.7071787700000000000000000000,0.5555506309079842,0.4444493690920158,0.50
2022-07-03T00:00:00+00:00,1655.6264479700000000000000000000,1326.7064120200000000000000000000,0.5551447560335541,0.444855243966446,0.50
2022-07-02T00:00:00+00:00,1637.2035687700000000000000000000,1347.1205907300000000000000000000,0.5486011174618177,0.4513988825381823,0.50
2022-07-01T00:00:00+00:00,1652.0367702100000000000000000000,1351.8662500000000000000000000000,0.5499634172925155,0.4500365827074845,0.50
