time,mim,ust,mim_p,ust_p,ideal
2022-08-02T00:00:00+00:00,5477.063941275388964968000000000000000000,2488433.332084227096970812000000000000000000,0.00219617511118446,0.9978038248888156,0.50
2022-08-01T00:00:00+00:00,5564.439351510919665968000000000000000000,2485978.370239555853728812000000000000000000,0.0022333308222081895,0.9977666691777918,0.50
2022-07-29T00:00:00+00:00,5465.339692010087651068000000000000000000,2488762.260743243097657812000000000000000000,0.0021911952586269046,0.9978088047413731,0.50
2022-07-28T00:00:00+00:00,5546.966772461635597168000000000000000000,2486453.576343542354559412000000000000000000,0.002225909134644768,0.9977740908653552,0.50
2022-07-27T00:00:00+00:00,5622.833123793144376268000000000000000000,2484373.566188669308333712000000000000000000,0.002258169178616371,0.9977418308213837,0.50
2022-07-26T00:00:00+00:00,5350.190201749649846968000000000000000000,2492128.075399143640874812000000000000000000,0.002142236941734664,0.9978577630582653,0.50
2022-07-25T00:00:00+00:00,5531.584359685192181768000000000000000000,2486870.607920350259975312000000000000000000,0.0022193787089494293,0.9977806212910506,0.50
2022-07-24T00:00:00+00:00,5634.366218839214452368000000000000000000,2484050.607543728231771112000000000000000000,0.002263083995853583,0.9977369160041464,0.50
2022-07-23T00:00:00+00:00,5708.809964045691951768000000000000000000,2482074.978507530629285012000000000000000000,0.002294737183552845,0.9977052628164471,0.50
2022-07-22T00:00:00+00:00,5612.187647134552062168000000000000000000,2484638.923620942921565912000000000000000000,0.0022536633441262604,0.9977463366558738,0.50
2022-07-21T00:00:00+00:00,5787.196063940517986668000000000000000000,2498331.094363291343639812000000000000000000,0.002311071360352212,0.9976889286396478,0.50
2022-07-20T00:00:00+00:00,5975.195269956580277968000000000000000000,2501606.637209233872969012000000000000000000,0.0023828515554561334,0.9976171484445439,0.50
2022-07-16T00:00:00+00:00,6109.796740257857428768000000000000000000,2498417.553577531165314412000000000000000000,0.002439500906022292,0.9975604990939777,0.50
2022-07-15T00:00:00+00:00,6508.795458958484553368000000000000000000,2489774.144298822563971712000000000000000000,0.00260739492118231,0.9973926050788177,0.50
2022-07-14T00:00:00+00:00,5561.983381617431971868000000000000000000,2512369.108870267239633212000000000000000000,0.002208949799592463,0.9977910502004076,0.50
2022-07-13T00:00:00+00:00,5859.027098794562715868000000000000000000,2504445.730626327850488812000000000000000000,0.0023339903574513023,0.9976660096425487,0.50
2022-07-12T00:00:00+00:00,5971.942836056408524568000000000000000000,2501649.438332613297280112000000000000000000,0.002381516955032981,0.997618483044967,0.50
2022-07-11T00:00:00+00:00,6317.072787884870144568000000000000000000,2493739.166264439022872812000000000000000000,0.0025267722738427003,0.9974732277261573,0.50
2022-07-10T00:00:00+00:00,6562.220989506776611868000000000000000000,2488652.439439564238036112000000000000000000,0.0026299224245413633,0.9973700775754586,0.50
2022-07-09T00:00:00+00:00,6337.839184818556010668000000000000000000,2493287.303460214318467312000000000000000000,0.0025355158566344204,0.9974644841433655,0.50
2022-07-08T00:00:00+00:00,6481.983614643473018268000000000000000000,2490267.096617398039926812000000000000000000,0.002596169421254399,0.9974038305787456,0.50
2022-07-07T00:00:00+00:00,6738.862662236379709068000000000000000000,2485215.909587607621359412000000000000000000,0.0027042475799639995,0.997295752420036,0.50
2022-07-06T00:00:00+00:00,6570.452845149629396468000000000000000000,2488470.435713645530499212000000000000000000,0.002633404877362513,0.9973665951226375,0.50
2022-07-05T00:00:00+00:00,7001.685395940074570168000000000000000000,2480396.448856142662845912000000000000000000,0.0028148631694802488,0.9971851368305198,0.50
2022-07-04T00:00:00+00:00,7507.248654466664153768000000000000000000,2472139.894813462418243512000000000000000000,0.0030275471549421123,0.9969724528450579,0.50
2022-07-03T00:00:00+00:00,7412.202262589171614068000000000000000000,2473560.562368795270343612000000000000000000,0.0029876193597354766,0.9970123806402645,0.50
2022-07-02T00:00:00+00:00,7186.309953291918121468000000000000000000,2477290.233222797425946312000000000000000000,0.0028924845247704084,0.9971075154752296,0.50
2022-07-01T00:00:00+00:00,7233.113738930586266768000000000000000000,2476472.433303962791322112000000000000000000,0.002912226752298537,0.9970877732477015,0.50
2022-06-30T00:00:00+00:00,6420.501282206402703068000000000000000000,2491367.254640810395517912000000000000000000,0.0025704751202264625,0.9974295248797735,0.50
2022-06-29T00:00:00+00:00,8558.029984697936255068000000000000000000,2457905.549566682911506612000000000000000000,0.0034697572896067396,0.9965302427103933,0.50
2022-06-28T00:00:00+00:00,5904.832252159817793068000000000000000000,2502468.365650697292755412000000000000000000,0.0023540485351607942,0.9976459514648393,0.50
2022-06-27T00:00:00+00:00,4544.808717095173665068000000000000000000,2546608.402604298265998212000000000000000000,0.0017814722757247292,0.9982185277242752,0.50
2022-06-26T00:00:00+00:00,3726.641785286731851268000000000000000000,2590560.468452651731445712000000000000000000,0.0014364800914209292,0.9985635199085791,0.50
2022-06-25T00:00:00+00:00,3089.140433857066392768000000000000000000,2643772.596149981390492912000000000000000000,0.001167095504521537,0.9988329044954785,0.50
2022-06-24T00:00:00+00:00,3124.376716973455054068000000000000000000,2640114.190016761758256012000000000000000000,0.0011820260026071975,0.9988179739973928,0.50
2022-06-22T00:00:00+00:00,3007.539900662016136568000000000000000000,2652453.640001715730256012000000000000000000,0.0011325866570463597,0.9988674133429536,0.50
2022-06-20T00:00:00+00:00,2992.803988759460775468000000000000000000,2654083.632110628094256012000000000000000000,0.0011263522374060583,0.9988736477625939,0.50
2022-06-19T00:00:00+00:00,3025.216444721102480568000000000000000000,2650487.107103611195256012000000000000000000,0.0011400800432973756,0.9988599199567026,0.50
2022-06-18T00:00:00+00:00,2586.597382541873546868000000000000000000,2708375.646351439225256012000000000000000000,0.0009541251961440777,0.9990458748038559,0.50
2022-06-17T00:00:00+00:00,2758.236273851366446768000000000000000000,2678220.843574371814256012000000000000000000,0.00102881678360859,0.9989711832163914,0.50
