time,usdc,dai,usdt,usdc_p,dai_p,usdt_p,ideal
2022-08-10T00:00:00+00:00,389679566.255021000000000000000000,379493863.775367866759931206000000000000000000,222179010.579134000000000000000000,0.39307873798689646,0.38280418570618535,0.22411707630691818,0.33
2022-08-09T00:00:00+00:00,371604170.394026000000000000000000,361071839.713354096738241106000000000000000000,253999129.507777000000000000000000,0.3766226141452865,0.3659480463389263,0.25742933951578717,0.33
2022-08-08T00:00:00+00:00,363622563.536677000000000000000000,350952810.109338860323167551000000000000000000,274870162.689130000000000000000000,0.3675013431093093,0.3546964408058776,0.2778022160848131,0.33
2022-08-07T00:00:00+00:00,336946405.729258000000000000000000,366279102.187464653394278251000000000000000000,284950621.956303000000000000000000,0.34097808633826593,0.37066175868317036,0.2883601549785637,0.33
2022-08-06T00:00:00+00:00,330543540.018034000000000000000000,366191973.446631830544017391000000000000000000,289912097.662699000000000000000000,0.33501681480822504,0.37114768162080986,0.2938355035709651,0.33
2022-08-05T00:00:00+00:00,322453536.911961000000000000000000,362405079.991135913599996191000000000000000000,295190147.982636000000000000000000,0.32901784938176715,0.36978270161218957,0.3011994490060433,0.33
2022-08-04T00:00:00+00:00,318712235.034896000000000000000000,374203603.360079089368638896000000000000000000,270905569.237081000000000000000000,0.3306756132527885,0.38824993966406407,0.28107444708314744,0.33
2022-08-03T00:00:00+00:00,359177768.991835000000000000000000,355761508.918844493671350896000000000000000000,249351095.184107000000000000000000,0.37247884974636064,0.3689360786389126,0.2585850716147268,0.33
2022-08-02T00:00:00+00:00,375945845.726385000000000000000000,345162648.801764266947853590000000000000000000,241261883.125680000000000000000000,0.3906456957277784,0.3586588457172166,0.2506954585550049,0.33
2022-08-01T00:00:00+00:00,413068671.446503000000000000000000,336280757.341751083346651175000000000000000000,216455483.400957000000000000000000,0.4276936948997197,0.34818704388187066,0.22411926121840967,0.33
2022-07-31T00:00:00+00:00,368511377.253321000000000000000000,366671554.852635922359808437000000000000000000,224694368.355507000000000000000000,0.3839150869347135,0.3819983602866298,0.2340865527786567,0.33
2022-07-30T00:00:00+00:00,370490664.013191000000000000000000,362026259.737829522436241252000000000000000000,225832728.882135000000000000000000,0.3865923705353606,0.37776009908609914,0.23564753037854025,0.33
2022-07-29T00:00:00+00:00,365492542.916846000000000000000000,355611035.347074834716974552000000000000000000,243876352.130672000000000000000000,0.3787566263345926,0.36851650914818596,0.2527268645172214,0.33
2022-07-28T00:00:00+00:00,367275860.413741000000000000000000,333870291.271424116576973952000000000000000000,256048310.304486000000000000000000,0.3837003607922168,0.3488009015194593,0.2674987376883239,0.33
2022-07-27T00:00:00+00:00,331558512.508627000000000000000000,342899222.756655035811740586000000000000000000,275586153.903690000000000000000000,0.3489928373715974,0.36092987562563855,0.290077287002764,0.33
2022-07-26T00:00:00+00:00,351129299.433034000000000000000000,344384456.163878693200173586000000000000000000,309544139.832290000000000000000000,0.3493622616467152,0.34265136140919705,0.3079863769440878,0.33
2022-07-25T00:00:00+00:00,349235767.065841000000000000000000,354973700.247712287203713905000000000000000000,318479313.824854000000000000000000,0.3414878245531243,0.3470984592718157,0.31141371617506,0.33
