time,frax,crv3,frax_p,crv3_p,total,ideal
2022-08-09T00:00:00+00:00,631302909.532321023980860405000000000000000000,426366493.988392335519168478000000000000000000,0.5968811307492432,0.40311886925075674,1057669403.520713359500028883000000000000000000,0.50
2022-08-08T00:00:00+00:00,631541233.567152799571471305000000000000000000,426133510.377379420296491432000000000000000000,0.597103445253745,0.40289655474625496,1057674743.944532219867962737000000000000000000,0.50
2022-08-07T00:00:00+00:00,633639025.999308575246473906000000000000000000,424566849.168601305251547464000000000000000000,0.5987861538746101,0.40121384612538985,1058205875.167909880498021370000000000000000000,0.50
2022-08-06T00:00:00+00:00,635602931.141072821184479006000000000000000000,424199642.664160114008936709000000000000000000,0.5997371084492967,0.4002628915507032,1059802573.805232935193415715000000000000000000,0.50
2022-08-05T00:00:00+00:00,637034978.593516106589720706000000000000000000,423300895.909534838419237009000000000000000000,0.6007860281932611,0.3992139718067389,1060335874.503050945008957715000000000000000000,0.50
2022-08-04T00:00:00+00:00,636865750.355541060714252781000000000000000000,423602720.957690029984156947000000000000000000,0.600551329514661,0.399448670485339,1060468471.313231090698409728000000000000000000,0.50
2022-08-03T00:00:00+00:00,637904860.919410937617987681000000000000000000,422001582.036230547977836647000000000000000000,0.6018501587183088,0.39814984128169123,1059906442.955641485595824328000000000000000000,0.50
2022-08-02T00:00:00+00:00,643643865.985362256995843581000000000000000000,422789798.142318880950327934000000000000000000,0.6035479633061364,0.39645203669386364,1066433664.127681137946171515000000000000000000,0.50
2022-08-01T00:00:00+00:00,642275315.136561856227230781000000000000000000,424397358.376847062718503834000000000000000000,0.6021297170959052,0.3978702829040947,1066672673.513408918945734615000000000000000000,0.50
2022-07-31T00:00:00+00:00,642156902.049130072821280204000000000000000000,423766153.914151786628793434000000000000000000,0.6024420791506462,0.3975579208493539,1065923055.963281859450073638000000000000000000,0.50
2022-07-30T00:00:00+00:00,643200941.117816639671187004000000000000000000,422744850.963160728967332514000000000000000000,0.6034086779048462,0.3965913220951538,1065945792.080977368638519518000000000000000000,0.50
2022-07-29T00:00:00+00:00,642947107.800369934576708104000000000000000000,423142460.528102857803200214000000000000000000,0.6030892027284818,0.39691079727151823,1066089568.328472792379908318000000000000000000,0.50
2022-07-28T00:00:00+00:00,642472461.679087127391102791000000000000000000,422558950.010835447195001514000000000000000000,0.6032427350284942,0.39675726497150576,1065031411.689922574586104305000000000000000000,0.50
2022-07-27T00:00:00+00:00,646852140.374433044003349791000000000000000000,418466335.254136759010237027000000000000000000,0.6071913283891663,0.39280867161083366,1065318475.628569803013586818000000000000000000,0.50
2022-07-26T00:00:00+00:00,648293310.506650617644858991000000000000000000,416975722.395082283421056809000000000000000000,0.6085723798247811,0.3914276201752189,1065269032.901732901065915800000000000000000000,0.50
2022-07-25T00:00:00+00:00,648064790.215957753157074291000000000000000000,417578380.389232352138550365000000000000000000,0.6081442720154767,0.39185572798452334,1065643170.605190105295624656000000000000000000,0.50
2022-07-24T00:00:00+00:00,644131869.544293207677312291000000000000000000,421201674.702294467392854165000000000000000000,0.6046292947621661,0.39537070523783385,1065333544.246587675070166456000000000000000000,0.50
2022-07-23T00:00:00+00:00,644466423.399875993595073840000000000000000000,420803613.469477799535750660000000000000000000,0.6049793959227957,0.3950206040772043,1065270036.869353793130824500000000000000000000,0.50
2022-07-22T00:00:00+00:00,644423284.564219710727286740000000000000000000,420814638.494752398379356360000000000000000000,0.6049571373817341,0.3950428626182659,1065237923.058972109106643100000000000000000000,0.50
2022-07-21T00:00:00+00:00,644495546.305974690152205640000000000000000000,421861214.774561865731275991000000000000000000,0.6043901720592169,0.39560982794078314,1066356761.080536555883481631000000000000000000,0.50
2022-07-20T00:00:00+00:00,645103278.263972450058764547000000000000000000,423102520.545245497445782489000000000000000000,0.6039129154542141,0.39608708454578595,1068205798.809217947504547036000000000000000000,0.50
2022-07-19T00:00:00+00:00,675649423.007117749731247758000000000000000000,423034891.025405098623257788000000000000000000,0.6149622911491912,0.3850377088508088,1098684314.032522848354505546000000000000000000,0.50
2022-07-18T00:00:00+00:00,677816725.235487437120030058000000000000000000,420068269.349561670679287288000000000000000000,0.6173840872027507,0.3826159127972493,1097884994.585049107799317346000000000000000000,0.50
2022-07-17T00:00:00+00:00,683318511.472506535359435758000000000000000000,421321770.966517798841632155000000000000000000,0.6185891663879507,0.38141083361204925,1104640282.439024334201067913000000000000000000,0.50
2022-07-16T00:00:00+00:00,684597864.826779202094241958000000000000000000,421656852.991660235476945255000000000000000000,0.6188428883510865,0.3811571116489135,1106254717.818439437571187213000000000000000000,0.50
2022-07-15T00:00:00+00:00,685535056.549800231686322358000000000000000000,418479600.621567799164520755000000000000000000,0.6209474232038114,0.3790525767961886,1104014657.171368030850843113000000000000000000,0.50
2022-07-14T00:00:00+00:00,687145810.326459137743523758000000000000000000,420370998.711384970307325718000000000000000000,0.6204382675901935,0.3795617324098065,1107516809.037844108050849476000000000000000000,0.50
