time,cvxcrv,crv,cvxcrv_p,crv_p,ideal
2022-08-10T00:00:00+00:00,62154516.911091998675008047000000000000000000,23945397.086636507897962519000000000000000000,0.7218882577830654,0.2781117422169346,0.50
2022-08-09T00:00:00+00:00,62171438.686303555617580247000000000000000000,23965959.589116737559795119000000000000000000,0.721770565759524,0.27822943424047597,0.50
2022-08-08T00:00:00+00:00,62448647.249014487429954633000000000000000000,25583072.860889603749559191000000000000000000,0.7093880157180825,0.2906119842819174,0.50
2022-08-07T00:00:00+00:00,62722707.322301067473211533000000000000000000,25215635.411141726247846791000000000000000000,0.71325778235809,0.28674221764191,0.50
2022-08-06T00:00:00+00:00,67872612.105183065003589680000000000000000000,25172177.573920791443798585000000000000000000,0.7294617177304018,0.27053828226959814,0.50
2022-08-05T00:00:00+00:00,66979275.558108240946083480000000000000000000,26609583.197867492249227173000000000000000000,0.7156757379930285,0.2843242620069715,0.50
2022-08-04T00:00:00+00:00,66699699.018914222402250680000000000000000000,26396846.234933182548468273000000000000000000,0.7164572953490744,0.28354270465092557,0.50
2022-08-03T00:00:00+00:00,66654844.780899388070163135000000000000000000,26616839.760796760123955273000000000000000000,0.7146310813235288,0.2853689186764712,0.50
2022-08-02T00:00:00+00:00,66526547.302107185880693035000000000000000000,26422918.998172967627103973000000000000000000,0.7157281257235866,0.2842718742764134,0.50
2022-08-01T00:00:00+00:00,66296528.340478728473448235000000000000000000,27171646.629629163328179698000000000000000000,0.7092952051506415,0.2907047948493585,0.50
2022-07-31T00:00:00+00:00,66261256.718369820913053935000000000000000000,26718659.019947669991896398000000000000000000,0.7126405330894834,0.2873594669105166,0.50
2022-07-30T00:00:00+00:00,66291624.697212123212502787000000000000000000,26498354.716695036987594598000000000000000000,0.7144265481675113,0.2855734518324887,0.50
2022-07-29T00:00:00+00:00,66236066.158792181433698175000000000000000000,26539875.000777420422158998000000000000000000,0.7139358041636003,0.28606419583639975,0.50
2022-07-28T00:00:00+00:00,65696834.824306602052782691000000000000000000,23689040.117334202069481903000000000000000000,0.7349800498926642,0.2650199501073358,0.50
2022-07-27T00:00:00+00:00,65048385.820823737986306049000000000000000000,22292887.201333112116112103000000000000000000,0.7447611372039674,0.2552388627960326,0.50
2022-07-26T00:00:00+00:00,65298273.901361440957153349000000000000000000,21951965.384888717406500003000000000000000000,0.7484022328824931,0.25159776711750687,0.50
2022-07-25T00:00:00+00:00,66051450.438323406758335920000000000000000000,21259149.261139724856220251000000000000000000,0.7565112445187976,0.24348875548120244,0.50
2022-07-24T00:00:00+00:00,69966634.973836217767646694000000000000000000,25358697.227442083151601935000000000000000000,0.7339773526946909,0.2660226473053091,0.50
2022-07-23T00:00:00+00:00,69555884.733006948159336194000000000000000000,25712875.738298597787286835000000000000000000,0.7301017079355915,0.26989829206440846,0.50
2022-07-22T00:00:00+00:00,69810462.585166031971551494000000000000000000,25408313.813884087050702087000000000000000000,0.7331585767559018,0.26684142324409826,0.50
2022-07-21T00:00:00+00:00,69776381.918445995592412094000000000000000000,27558884.782935390069926887000000000000000000,0.7168663967656825,0.28313360323431747,0.50
2022-07-20T00:00:00+00:00,69461900.581806118195542594000000000000000000,27115704.446999913361920486000000000000000000,0.7192340352723371,0.2807659647276629,0.50
2022-07-19T00:00:00+00:00,69642066.050818172334622294000000000000000000,27021022.720326978268320686000000000000000000,0.7204618322894621,0.2795381677105378,0.50
2022-07-18T00:00:00+00:00,70086763.071321445314698522000000000000000000,26569935.856072591130109977000000000000000000,0.7251102494610205,0.27488975053897946,0.50
2022-07-17T00:00:00+00:00,68316460.084311585984030422000000000000000000,26681900.320781285507512377000000000000000000,0.7191330439072413,0.2808669560927587,0.50
2022-07-16T00:00:00+00:00,68616285.709696186081444222000000000000000000,26906278.421886652740149077000000000000000000,0.7183254169682557,0.2816745830317443,0.50
2022-07-15T00:00:00+00:00,67934051.787728252997364922000000000000000000,27423022.721214180796246832000000000000000000,0.7124175331255314,0.2875824668744687,0.50
2022-07-14T00:00:00+00:00,60571937.580404618068775622000000000000000000,27448149.902129206675212619000000000000000000,0.6881603883025468,0.31183961169745317,0.50
2022-07-13T00:00:00+00:00,58211042.045658679742862495000000000000000000,29317835.033079852003441476000000000000000000,0.6650495697927629,0.3349504302072372,0.50
2022-07-12T00:00:00+00:00,57630828.750519166871840495000000000000000000,30415698.014775138839233876000000000000000000,0.6545497121555482,0.3454502878444517,0.50
2022-07-11T00:00:00+00:00,58211950.838174913020507201000000000000000000,30335591.941358354055666759000000000000000000,0.6574089919481078,0.34259100805189224,0.50
2022-07-10T00:00:00+00:00,59479172.831788969653938801000000000000000000,28406026.555328797808885459000000000000000000,0.6767825896348532,0.3232174103651469,0.50
2022-07-09T00:00:00+00:00,57489981.054287630911168701000000000000000000,28754716.886555861985189224000000000000000000,0.6665914824551981,0.33340851754480194,0.50
2022-07-08T00:00:00+00:00,55271429.551218583645775901000000000000000000,30152629.695308865509468224000000000000000000,0.6470241526653442,0.3529758473346558,0.50
2022-07-07T00:00:00+00:00,41633701.560020451296639701000000000000000000,34487900.497026274733776008000000000000000000,0.5469367490297892,0.4530632509702108,0.50
2022-07-06T00:00:00+00:00,39057038.145957629036468701000000000000000000,32164438.105769625709515550000000000000000000,0.5483884946152099,0.4516115053847901,0.50
2022-07-05T00:00:00+00:00,30206087.897235090013459707000000000000000000,28818919.373857906364894850000000000000000000,0.5117506849004366,0.48824931509956343,0.50
