time,lusd,crv,lusd_p,crv_p,ideal
2022-08-10T00:00:00+00:00,5422131.800234126552330532000000000000000000,46624706.386717387128058994000000000000000000,0.10417792874867643,0.8958220712513235,0.5
2022-08-09T00:00:00+00:00,4942324.949140964630296032000000000000000000,47110340.519254863503228294000000000000000000,0.09494854691239077,0.9050514530876093,0.5
2022-08-08T00:00:00+00:00,4004028.705792481686322632000000000000000000,50866797.925398890804439694000000000000000000,0.07297190422708864,0.9270280957729113,0.5
2022-08-07T00:00:00+00:00,5364364.464677252824336932000000000000000000,49485540.540170476787030994000000000000000000,0.09780079772614265,0.9021992022738573,0.5
2022-08-06T00:00:00+00:00,5903119.790130425093791532000000000000000000,48945486.055315063567098475000000000000000000,0.10762570350036724,0.8923742964996327,0.5
2022-08-05T00:00:00+00:00,6311166.931323562527633032000000000000000000,48553933.496860239977542275000000000000000000,0.11503062752221925,0.8849693724777807,0.5
2022-08-04T00:00:00+00:00,5903131.901104042284771532000000000000000000,49952620.208473475643830475000000000000000000,0.10568529968987454,0.8943147003101255,0.5
2022-08-03T00:00:00+00:00,5988988.343725942724549832000000000000000000,50249972.407579134067715475000000000000000000,0.10649180325735239,0.8935081967426476,0.5
2022-08-02T00:00:00+00:00,5895020.229385109497321832000000000000000000,50835722.951442123012183775000000000000000000,0.10391226870754966,0.8960877312924503,0.5
2022-08-01T00:00:00+00:00,5238675.284000507608975932000000000000000000,51500015.350326893254435075000000000000000000,0.09232985861029129,0.9076701413897087,0.5
2022-07-31T00:00:00+00:00,5239374.760553992155341332000000000000000000,51695822.733976048161472975000000000000000000,0.0920234756550613,0.9079765243449387,0.5
2022-07-30T00:00:00+00:00,5222778.281778762436261279000000000000000000,51759577.462021159715152197000000000000000000,0.09165606113690793,0.9083439388630921,0.5
2022-07-29T00:00:00+00:00,5241021.394554348800335367000000000000000000,50559642.797656343421870297000000000000000000,0.09392399661231902,0.906076003387681,0.5
2022-07-28T00:00:00+00:00,4383019.143694366935218967000000000000000000,51374503.731363189186556497000000000000000000,0.07860857006714438,0.9213914299328556,0.5
2022-07-27T00:00:00+00:00,4712329.498478972712411467000000000000000000,52509906.792467813312308497000000000000000000,0.08235136904680038,0.9176486309531996,0.5
2022-07-26T00:00:00+00:00,5542245.110193897584969967000000000000000000,51684754.842233436383220197000000000000000000,0.09684668276864335,0.9031533172313566,0.5
2022-07-25T00:00:00+00:00,5407418.566922654224004767000000000000000000,51839144.602722377228709697000000000000000000,0.09445839658353387,0.9055416034164662,0.5
2022-07-24T00:00:00+00:00,5363376.035444605099219091000000000000000000,51899246.790504650765460028000000000000000000,0.09366277286576062,0.9063372271342394,0.5
2022-07-23T00:00:00+00:00,6047496.927401403451485491000000000000000000,51294648.817915143560447328000000000000000000,0.10546338733575097,0.894536612664249,0.5
2022-07-22T00:00:00+00:00,6148447.421972119794772291000000000000000000,50436192.395256115141448728000000000000000000,0.10865930121375646,0.8913406987862436,0.5
2022-07-21T00:00:00+00:00,6032706.032611067226023391000000000000000000,51054579.312475784759426128000000000000000000,0.10567512531282527,0.8943248746871747,0.5
2022-07-20T00:00:00+00:00,5603490.574501789810667991000000000000000000,51499022.221837628883388328000000000000000000,0.09813036765101875,0.9018696323489812,0.5
2022-07-19T00:00:00+00:00,5614484.421305491873530791000000000000000000,51485238.618724035879544828000000000000000000,0.09832769972228203,0.9016723002777179,0.5
2022-07-18T00:00:00+00:00,5748761.335720225875409091000000000000000000,51339921.519683668622254328000000000000000000,0.10069879086684971,0.8993012091331503,0.5
2022-07-17T00:00:00+00:00,5805364.625895836583809691000000000000000000,51282905.047441712178668528000000000000000000,0.10169102442786365,0.8983089755721363,0.5
2022-07-16T00:00:00+00:00,5613874.111982690526154291000000000000000000,51532724.921158220615050328000000000000000000,0.09823636414000854,0.9017636358599914,0.5
2022-07-15T00:00:00+00:00,5633745.930495583096749882000000000000000000,51512713.907830793778789727000000000000000000,0.09858433832006515,0.9014156616799348,0.5
2022-07-14T00:00:00+00:00,5473996.558557874984859182000000000000000000,51675057.622131270388718327000000000000000000,0.09578455211613207,0.9042154478838679,0.5
2022-07-13T00:00:00+00:00,5861687.808710282002859182000000000000000000,51243839.949661327619768327000000000000000000,0.1026465919991601,0.89735340800084,0.5
2022-07-12T00:00:00+00:00,5764386.674989440609844958000000000000000000,51334293.308319675734302037000000000000000000,0.10095481500928682,0.8990451849907132,0.5
2022-07-11T00:00:00+00:00,7230061.778940353286081958000000000000000000,49849650.269434412388063137000000000000000000,0.1266660520784147,0.8733339479215853,0.5
2022-07-10T00:00:00+00:00,6045835.985797686554475058000000000000000000,51029187.145650239683957737000000000000000000,0.10592787622483633,0.8940721237751637,0.5
2022-07-09T00:00:00+00:00,6023436.567612889575845458000000000000000000,51041099.313132350939328137000000000000000000,0.10555481569500196,0.8944451843049981,0.5
2022-07-08T00:00:00+00:00,5727825.914487445288201631000000000000000000,51192209.934708744324748431000000000000000000,0.10062934481739846,0.8993706551826015,0.5
2022-07-07T00:00:00+00:00,5587581.710352543721048998000000000000000000,51289059.741677433117924966000000000000000000,0.09824035962223852,0.9017596403777615,0.5
2022-07-06T00:00:00+00:00,6526983.049102956039832139000000000000000000,50347554.823397426765707661000000000000000000,0.11476107399298696,0.885238926007013,0.5
2022-07-05T00:00:00+00:00,6616856.314739647413860839000000000000000000,50244472.567378713409209861000000000000000000,0.11636830240913527,0.8836316975908647,0.5
2022-07-04T00:00:00+00:00,6795295.052646023444894339000000000000000000,50045340.009255806655137061000000000000000000,0.11954994952546999,0.8804500504745301,0.5
