time,susd,crv3,susd_p,crv3_p,ideal
2022-08-10T00:00:00+00:00,22009582.092764085834543805000000000000000000,38762171.962571375290488698000000000000000000,0.36216795836966226,0.6378320416303378,0.50
2022-08-09T00:00:00+00:00,22452720.016523007447141405000000000000000000,39103030.449618480302019451000000000000000000,0.36475422436565114,0.6352457756343488,0.50
2022-08-08T00:00:00+00:00,24826974.112627325886618905000000000000000000,40258914.171142057209918253000000000000000000,0.38144941656759235,0.6185505834324077,0.50
2022-08-07T00:00:00+00:00,24426898.954509708000937905000000000000000000,40187711.971227919090718458000000000000000000,0.3780398675244496,0.6219601324755504,0.50
2022-08-06T00:00:00+00:00,25167720.048047807732635405000000000000000000,40022162.806428874682802404000000000000000000,0.3860678827147103,0.6139321172852897,0.50
2022-08-05T00:00:00+00:00,25748134.549200540617459305000000000000000000,40593484.043719672128259043000000000000000000,0.3881143555931918,0.6118856444068081,0.50
2022-08-04T00:00:00+00:00,25202588.672714152600522705000000000000000000,40938817.211055465614344622000000000000000000,0.3810410186472706,0.6189589813527294,0.50
2022-08-03T00:00:00+00:00,25477707.676386226312202605000000000000000000,40857172.405675239204675079000000000000000000,0.38407708953220837,0.6159229104677917,0.50
2022-08-02T00:00:00+00:00,26346094.547020828783591405000000000000000000,40124967.135326981302380492000000000000000000,0.396354351505978,0.603645648494022,0.50
2022-08-01T00:00:00+00:00,26555924.022639456400102805000000000000000000,39936438.677951682219071448000000000000000000,0.3993830711388357,0.6006169288611642,0.50
2022-07-31T00:00:00+00:00,25267768.872055607822733205000000000000000000,40640927.573085798645625097000000000000000000,0.38337533944533464,0.6166246605546654,0.50
2022-07-30T00:00:00+00:00,25737694.806199039397968105000000000000000000,40714431.641962266380940324000000000000000000,0.38731183156759896,0.612688168432401,0.50
2022-07-29T00:00:00+00:00,26054197.995141105740525805000000000000000000,41033139.058655627350585307000000000000000000,0.3883623816257378,0.6116376183742622,0.50
2022-07-28T00:00:00+00:00,26922964.436666715194824305000000000000000000,41055481.545633694572052623000000000000000000,0.3960514843731006,0.6039485156268993,0.50
2022-07-27T00:00:00+00:00,25143427.371852814776687405000000000000000000,41303703.865591150512273587000000000000000000,0.37839748539338164,0.6216025146066184,0.50
2022-07-26T00:00:00+00:00,26628062.402845282083808305000000000000000000,41531193.870318088928400379000000000000000000,0.39067419245490886,0.6093258075450911,0.50
2022-07-25T00:00:00+00:00,26762931.442318683920219605000000000000000000,40926072.282249386215212353000000000000000000,0.3953807852043321,0.6046192147956679,0.50
2022-07-24T00:00:00+00:00,25698692.808982611059659005000000000000000000,41410053.677066280103929271000000000000000000,0.3829410345836971,0.6170589654163029,0.50
2022-07-23T00:00:00+00:00,23827964.595150288079857905000000000000000000,41521669.689261993592407809000000000000000000,0.36462276883520256,0.6353772311647974,0.50
2022-07-22T00:00:00+00:00,23031447.924089992964267805000000000000000000,42398271.959086662194849246000000000000000000,0.3520028507719755,0.6479971492280244,0.50
2022-07-21T00:00:00+00:00,22339845.711680171564114705000000000000000000,39827018.093028382986337398000000000000000000,0.359352946963172,0.640647053036828,0.50
2022-07-20T00:00:00+00:00,22176051.823937918949262905000000000000000000,39946506.599843716259519576000000000000000000,0.3569726100567121,0.6430273899432879,0.50
2022-07-19T00:00:00+00:00,21371737.140823665348089605000000000000000000,39267755.861874638002439070000000000000000000,0.35243924516111436,0.6475607548388856,0.50
2022-07-18T00:00:00+00:00,20185212.518921974888266705000000000000000000,38800394.954076029651824633000000000000000000,0.3422057241363872,0.6577942758636128,0.50
2022-07-17T00:00:00+00:00,21695618.481072392807319405000000000000000000,38516532.018454826473530724000000000000000000,0.36031960826980836,0.6396803917301916,0.50
2022-07-16T00:00:00+00:00,21673363.730623848530033205000000000000000000,37815687.493791343988552996000000000000000000,0.3643252545558968,0.6356747454441032,0.50
2022-07-15T00:00:00+00:00,23337783.498174663749130605000000000000000000,37699170.963632993460838732000000000000000000,0.38235497992904766,0.6176450200709523,0.50
2022-07-14T00:00:00+00:00,21546466.868438567142022905000000000000000000,38190080.091103209041408860000000000000000000,0.36069153583703967,0.6393084641629603,0.50
2022-07-13T00:00:00+00:00,21972223.376324533404162505000000000000000000,38166323.724521006611508300000000000000000000,0.36536006331312926,0.6346399366868707,0.50
2022-07-12T00:00:00+00:00,25443857.853212772748382505000000000000000000,41124151.818023963725255248000000000000000000,0.3822235031342205,0.6177764968657795,0.50
2022-07-11T00:00:00+00:00,25937549.495824465099342205000000000000000000,41226504.350933000452797416000000000000000000,0.38618201270286595,0.613817987297134,0.50
2022-07-10T00:00:00+00:00,26787680.484095711175928905000000000000000000,42955077.412858800772828472000000000000000000,0.3840926469193364,0.6159073530806636,0.50
2022-07-09T00:00:00+00:00,25847775.733222545315257305000000000000000000,42953035.341556181881167470000000000000000000,0.375689985763815,0.624310014236185,0.50
2022-07-08T00:00:00+00:00,25628641.209859320308279705000000000000000000,42953035.341555444143004267000000000000000000,0.3736951690098429,0.6263048309901571,0.50
2022-07-07T00:00:00+00:00,25556026.561737072809240126000000000000000000,42401195.266707238320855810000000000000000000,0.3760604962082233,0.6239395037917767,0.50
2022-07-06T00:00:00+00:00,24378118.722503395821039168000000000000000000,39600962.736108818737139989000000000000000000,0.38103264640136314,0.6189673535986369,0.50
2022-07-05T00:00:00+00:00,22882867.447980873395345602000000000000000000,35053620.457670190457711061000000000000000000,0.39496469798523814,0.6050353020147619,0.50
2022-07-04T00:00:00+00:00,23291620.752257492674722336000000000000000000,34675818.579535657892919815000000000000000000,0.40180523791884726,0.5981947620811527,0.50
