time,crv3,mim,mim_p,crv3_p,ideal
2022-08-10T00:00:00+00:00,34161384.173369813407022801000000000000000000,119047742.338327984425975443000000000000000000,0.777027746641702,0.222972253358298,0.50
2022-08-09T00:00:00+00:00,34049810.393995212850941501000000000000000000,119066880.573141221405270243000000000000000000,0.7776218243816192,0.22237817561838083,0.50
2022-08-08T00:00:00+00:00,33787898.593343998369349301000000000000000000,119483823.340782293616949443000000000000000000,0.7795555620633956,0.22044443793660445,0.50
2022-08-07T00:00:00+00:00,34980309.884388616326378701000000000000000000,119070744.326259131059477143000000000000000000,0.7729304089243237,0.22706959107567623,0.50
2022-08-06T00:00:00+00:00,42019437.061828255011063089000000000000000000,117676633.211075689750125125000000000000000000,0.736878703464516,0.26312129653548405,0.50
2022-08-05T00:00:00+00:00,41763240.114731199363952411000000000000000000,117664815.891500180905821025000000000000000000,0.7380433459396956,0.26195665406030444,0.50
2022-08-04T00:00:00+00:00,41983732.122927219046291011000000000000000000,117157016.292876694429273125000000000000000000,0.73618490210168,0.26381509789832,0.50
2022-08-03T00:00:00+00:00,45024825.715260782805074065000000000000000000,117062055.517330995374998525000000000000000000,0.7222179526629859,0.27778204733701406,0.50
2022-08-02T00:00:00+00:00,45090183.580093523566999573000000000000000000,117020476.173824410239390725000000000000000000,0.7218555297440656,0.27814447025593436,0.50
2022-08-01T00:00:00+00:00,44700771.271635905961314148000000000000000000,116902038.483160718165797425000000000000000000,0.7233911258135837,0.2766088741864163,0.50
2022-07-31T00:00:00+00:00,45043815.890637958735558648000000000000000000,117058374.554563322802560725000000000000000000,0.7221270374759986,0.27787296252400145,0.50
2022-07-30T00:00:00+00:00,44863599.006505927938850548000000000000000000,117075392.822285104549339125000000000000000000,0.7229598721107411,0.27704012788925897,0.50
2022-07-29T00:00:00+00:00,54301319.956881505630305648000000000000000000,106823689.779918057346670325000000000000000000,0.6629863976698364,0.3370136023301636,0.50
2022-07-28T00:00:00+00:00,48864111.586578790010480148000000000000000000,106400032.836694258732297125000000000000000000,0.6852839928491926,0.3147160071508074,0.50
2022-07-27T00:00:00+00:00,47618858.928604386253055648000000000000000000,106018382.640378307096313525000000000000000000,0.6900565354968076,0.30994346450319243,0.50
2022-07-26T00:00:00+00:00,44595386.953306276978925848000000000000000000,105467775.468698027921323525000000000000000000,0.7028225566252154,0.2971774433747845,0.50
2022-07-25T00:00:00+00:00,58889183.677757810286285248000000000000000000,104533775.001366897732896725000000000000000000,0.6396517101774869,0.3603482898225131,0.50
2022-07-24T00:00:00+00:00,60514416.270111893355784348000000000000000000,104445039.233458087399209325000000000000000000,0.6331558194989176,0.36684418050108236,0.50
2022-07-23T00:00:00+00:00,58425145.503315707709834666000000000000000000,104169367.361352328057701996000000000000000000,0.6406696359307981,0.359330364069202,0.50
2022-07-22T00:00:00+00:00,55887893.442113471886045068000000000000000000,102165320.888789818079117696000000000000000000,0.6463982483449815,0.35360175165501845,0.50
2022-07-21T00:00:00+00:00,48006977.389580786759293168000000000000000000,99985289.055582210328542396000000000000000000,0.6756115806404703,0.32438841935952967,0.50
2022-07-20T00:00:00+00:00,46618353.288046377656782937000000000000000000,98759429.949622204074275896000000000000000000,0.6793295904654627,0.3206704095345373,0.50
2022-07-19T00:00:00+00:00,33187618.258359930267235337000000000000000000,97855110.482673110220419196000000000000000000,0.7467420086776018,0.25325799132239823,0.50
2022-07-18T00:00:00+00:00,29724477.464931045134733937000000000000000000,91567020.284655480059166596000000000000000000,0.7549335442596398,0.2450664557403602,0.50
2022-07-17T00:00:00+00:00,26059057.592005606862125937000000000000000000,90276864.180941089244604796000000000000000000,0.776001623618325,0.22399837638167494,0.50
2022-07-16T00:00:00+00:00,22600244.190363192378677537000000000000000000,89117673.293787276624122796000000000000000000,0.797702600448406,0.20229739955159395,0.50
2022-07-15T00:00:00+00:00,19882639.894357097847565599000000000000000000,87891623.942289740445617296000000000000000000,0.8155158830452031,0.18448411695479694,0.50
2022-07-14T00:00:00+00:00,17990369.314968160073901199000000000000000000,88118958.239657528130153709000000000000000000,0.8304544027412989,0.16954559725870108,0.50
2022-07-13T00:00:00+00:00,15255795.587055038489372599000000000000000000,87462204.284745294817401409000000000000000000,0.8514788488279036,0.14852115117209644,0.50
2022-07-12T00:00:00+00:00,14570754.408134044567460899000000000000000000,87378297.159116067377131009000000000000000000,0.8570780778816512,0.14292192211834878,0.50
2022-07-11T00:00:00+00:00,16879869.396644388570709099000000000000000000,85510205.682362008364420409000000000000000000,0.8351415468382114,0.16485845316178854,0.50
2022-07-10T00:00:00+00:00,15945526.829885285179186999000000000000000000,85289024.827075339180823609000000000000000000,0.8424892828693739,0.15751071713062614,0.50
2022-07-09T00:00:00+00:00,26969458.451613831902612299000000000000000000,84994808.272639400176003809000000000000000000,0.7591244131662604,0.24087558683373952,0.50
2022-07-08T00:00:00+00:00,22547665.702452114279815799000000000000000000,84304396.806214067960782709000000000000000000,0.7889824007784276,0.21101759922157232,0.50
2022-07-07T00:00:00+00:00,19627823.701664740095262400000000000000000000,81207966.921870518813769009000000000000000000,0.8053486407921954,0.19465135920780463,0.50
2022-07-06T00:00:00+00:00,18869919.143042707333362438000000000000000000,80429052.022307559929493509000000000000000000,0.8099686338983214,0.19003136610167864,0.50
2022-07-05T00:00:00+00:00,8581904.845464990820739838000000000000000000,78706424.241438226288357109000000000000000000,0.9016832498085632,0.0983167501914368,0.50
2022-07-04T00:00:00+00:00,9123792.927760327221458138000000000000000000,78691258.167489245877117309000000000000000000,0.8961021736710703,0.10389782632892969,0.50
