time,alusd,crv3,alusd_p,crv3_p,ideal
2022-08-10T00:00:00+00:00,59860567.561242775429295508000000000000000000,36268474.091955230367514322000000000000000000,0.6227105412867844,0.37728945871321556,0.50
2022-08-09T00:00:00+00:00,59913563.100219199857225608000000000000000000,36218633.007079745179954722000000000000000000,0.6232413855743612,0.37675861442563885,0.50
2022-08-08T00:00:00+00:00,61561827.307219062798226108000000000000000000,34638117.023359491569584822000000000000000000,0.6399362051153572,0.3600637948846428,0.50
2022-08-07T00:00:00+00:00,61702078.681501970038968208000000000000000000,38447794.918736206581787022000000000000000000,0.6160974194315432,0.38390258056845683,0.50
2022-08-06T00:00:00+00:00,62062033.803198203617145408000000000000000000,36967390.085770867850276722000000000000000000,0.626702967319911,0.37329703268008896,0.50
2022-08-05T00:00:00+00:00,62037264.905836047509145408000000000000000000,36988222.437547781526765222000000000000000000,0.6264777540625851,0.3735222459374149,0.50
2022-08-04T00:00:00+00:00,62071136.054780718951145408000000000000000000,33092762.494922389414964322000000000000000000,0.652255077826195,0.3477449221738051,0.50
2022-08-03T00:00:00+00:00,62451050.139054034646079508000000000000000000,32723092.612351753511401822000000000000000000,0.6561766498089271,0.3438233501910729,0.50
2022-08-02T00:00:00+00:00,62526938.069601030130079508000000000000000000,32650822.502915499118781722000000000000000000,0.6569490361349841,0.3430509638650159,0.50
2022-08-01T00:00:00+00:00,62080160.480528367830221967000000000000000000,33092806.943205923938052241000000000000000000,0.6522877468360494,0.3477122531639506,0.50
2022-07-31T00:00:00+00:00,61833409.018227326133345067000000000000000000,29486829.655174308454687441000000000000000000,0.6771052059923844,0.32289479400761556,0.50
2022-07-30T00:00:00+00:00,62283926.987249416984663067000000000000000000,28931287.384670502175705741000000000000000000,0.6828238843280422,0.3171761156719578,0.50
2022-07-29T00:00:00+00:00,62413860.692856440435928167000000000000000000,28786707.971018096725868741000000000000000000,0.684358240384297,0.31564175961570295,0.50
2022-07-28T00:00:00+00:00,63681351.652459700789462267000000000000000000,27557155.294817123858541941000000000000000000,0.697965735994109,0.30203426400589095,0.50
2022-07-27T00:00:00+00:00,66268122.660271747841237467000000000000000000,25566526.650606342218011441000000000000000000,0.7216026103169546,0.2783973896830454,0.50
2022-07-26T00:00:00+00:00,66484231.944045959698611140000000000000000000,25358735.531974706687296652000000000000000000,0.723890285463657,0.2761097145363431,0.50
2022-07-25T00:00:00+00:00,66292995.402019181892542940000000000000000000,25871496.755118609198306752000000000000000000,0.7192899765453223,0.2807100234546777,0.50
2022-07-24T00:00:00+00:00,66051543.810504364438466640000000000000000000,23726227.804473455110369552000000000000000000,0.735722691957358,0.264277308042642,0.50
2022-07-23T00:00:00+00:00,66256452.403803217490617140000000000000000000,23432845.544097123724305452000000000000000000,0.7387330921275687,0.26126690787243134,0.50
2022-07-22T00:00:00+00:00,66591017.202614020512426340000000000000000000,23109313.152504597428247752000000000000000000,0.7423720396456054,0.2576279603543946,0.50
2022-07-21T00:00:00+00:00,66286597.291683592658074940000000000000000000,22404891.658605873040943452000000000000000000,0.7473839719709345,0.25261602802906546,0.50
2022-07-20T00:00:00+00:00,64608448.849819341598218340000000000000000000,17149915.763421142754751052000000000000000000,0.7902365605702958,0.2097634394297042,0.50
2022-07-19T00:00:00+00:00,64597912.065713521945900240000000000000000000,17627772.965473248349148752000000000000000000,0.7856171954202955,0.21438280457970452,0.50
2022-07-18T00:00:00+00:00,64544652.759847839433900240000000000000000000,17679207.869216581939148752000000000000000000,0.7849868914697086,0.2150131085302914,0.50
2022-07-17T00:00:00+00:00,64300185.501876084592900240000000000000000000,17915565.385876590905338052000000000000000000,0.7820908379181951,0.21790916208180489,0.50
2022-07-16T00:00:00+00:00,64441121.979405065601159040000000000000000000,17488992.198784291854486552000000000000000000,0.786537680629279,0.213462319370721,0.50
2022-07-15T00:00:00+00:00,64597701.149415406833752740000000000000000000,17319249.933442071093989052000000000000000000,0.7885755059911352,0.2114244940088648,0.50
2022-07-14T00:00:00+00:00,64461801.149415406833752740000000000000000000,17449490.182935874049124652000000000000000000,0.7869708815584976,0.21302911844150246,0.50
2022-07-13T00:00:00+00:00,62241398.669976933025752740000000000000000000,17416492.503664747629762352000000000000000000,0.7813588553869757,0.21864114461302436,0.50
2022-07-12T00:00:00+00:00,61338294.959804343114212140000000000000000000,17511828.169422865686958452000000000000000000,0.7779099451661884,0.22209005483381158,0.50
2022-07-11T00:00:00+00:00,61128591.531653156602910540000000000000000000,17714478.547169424367396152000000000000000000,0.7753197772555083,0.22468022274449168,0.50
2022-07-10T00:00:00+00:00,60823651.078030256378910540000000000000000000,17538693.187846091498396152000000000000000000,0.7761846796167954,0.22381532038320462,0.50
2022-07-09T00:00:00+00:00,60424955.259863298058879840000000000000000000,17924636.255660069825739052000000000000000000,0.771222339402897,0.22877766059710306,0.50
2022-07-08T00:00:00+00:00,56829994.059133546035730740000000000000000000,17041218.940968836076052452000000000000000000,0.7693117758747887,0.23068822412521123,0.50
2022-07-07T00:00:00+00:00,56848813.339098373324956106000000000000000000,17160652.344234829273109390000000000000000000,0.7681289523469783,0.23187104765302172,0.50
2022-07-06T00:00:00+00:00,56731764.541470976734201306000000000000000000,16787853.523249753413393890000000000000000000,0.7716547777972529,0.22834522220274708,0.50
2022-07-05T00:00:00+00:00,56439638.190516093389787406000000000000000000,16097058.548184393704441490000000000000000000,0.7780839316936232,0.22191606830637675,0.50
2022-07-04T00:00:00+00:00,57501130.530084300477151406000000000000000000,15084065.889354416823993690000000000000000000,0.7921881232890785,0.20781187671092147,0.50
