time,wust,pool3,ust_p,pool3_p,ideal
2022-08-10T00:00:00+00:00,563779.084024000000000000000000,1911.557807413863753721000000000000000000,0.9966208424427435,0.0033791575572564322,0.50
2022-08-09T00:00:00+00:00,561870.553849000000000000000000,1967.144247303311185521000000000000000000,0.9965111516063133,0.00348884839368673,0.50
2022-08-08T00:00:00+00:00,562049.403353000000000000000000,1999.944273826804353421000000000000000000,0.9964543097474692,0.0035456902525308137,0.50
2022-08-07T00:00:00+00:00,561462.481514000000000000000000,2017.805975195197235321000000000000000000,0.9964190300530542,0.003580969946945817,0.50
2022-08-06T00:00:00+00:00,570835.039738000000000000000000,2122.157793995692496121000000000000000000,0.9962961320616325,0.003703867938367568,0.50
2022-08-05T00:00:00+00:00,570687.856582000000000000000000,2126.630893494693474721000000000000000000,0.9962874003015056,0.0037125996984943084,0.50
2022-08-04T00:00:00+00:00,569979.222592000000000000000000,2150.078978676184424921000000000000000000,0.9962419701756692,0.0037580298243308575,0.50
2022-08-03T00:00:00+00:00,569865.200419000000000000000000,2153.554438473427633021000000000000000000,0.9962351681300904,0.0037648318699096085,0.50
2022-08-02T00:00:00+00:00,570934.939052000000000000000000,2117.159399382593428921000000000000000000,0.9963054678534395,0.0036945321465605137,0.50
2022-08-01T00:00:00+00:00,567805.843816000000000000000000,2225.109737676489512521000000000000000000,0.9960965106827888,0.003903489317211199,0.50
2022-07-31T00:00:00+00:00,569261.172673000000000000000000,2172.994411197189583521000000000000000000,0.9961972970179835,0.0038027029820164966,0.50
2022-07-30T00:00:00+00:00,569496.323514000000000000000000,2164.422686619446549721000000000000000000,0.9962137986541761,0.003786201345823841,0.50
2022-07-29T00:00:00+00:00,568913.177013000000000000000000,2184.254688734716371121000000000000000000,0.9961753379239928,0.003824662076007164,0.50
2022-07-28T00:00:00+00:00,569183.025823000000000000000000,2174.411632829321372621000000000000000000,0.9961943058928021,0.003805694107197863,0.50
2022-07-27T00:00:00+00:00,568340.807578000000000000000000,2203.622386067661777021000000000000000000,0.9961376848667045,0.0038623151332954804,0.50
2022-07-26T00:00:00+00:00,572607.951086000000000000000000,2059.997333383975534621000000000000000000,0.9964153258606993,0.003584674139300737,0.50
2022-07-25T00:00:00+00:00,568726.239734000000000000000000,2188.976167109073403021000000000000000000,0.9961658472113866,0.003834152788613426,0.50
2022-07-24T00:00:00+00:00,565869.344543000000000000000000,2293.422791599456621921000000000000000000,0.9959634405430006,0.004036559456999452,0.50
2022-07-23T00:00:00+00:00,568165.770239000000000000000000,2208.035826541107985821000000000000000000,0.9961287916747577,0.0038712083252423844,0.50
2022-07-22T00:00:00+00:00,564718.237944000000000000000000,2337.381190752250940121000000000000000000,0.9958780389226743,0.0041219610773256575,0.50
2022-07-21T00:00:00+00:00,589241.021089000000000000000000,2348.241069974761653921000000000000000000,0.9960306225616655,0.003969377438334455,0.50
2022-07-20T00:00:00+00:00,588190.074806000000000000000000,2387.641092546177562121000000000000000000,0.9959571094061457,0.0040428905938542795,0.50
