time,renbtc,sbtc,wbtc,renbtc_p,sbtc_p,wbtc_p,ideal
2022-08-10T00:00:00+00:00,613.6090238400000000000000000000,525.716662293430330921000000000000000000,926.8932814200000000000000000000,0.2969719247938966,0.25443414785603347,0.4485939273500699,0.33
2022-08-09T00:00:00+00:00,632.2413199200000000000000000000,526.066116432166347654000000000000000000,909.9337739300000000000000000000,0.3056903212143928,0.25435433440589655,0.4399553443797106,0.33
2022-08-08T00:00:00+00:00,668.6394263700000000000000000000,548.033541670776473772000000000000000000,860.9057739400000000000000000000,0.3218359010222231,0.2637847271907865,0.4143793717869904,0.33
2022-08-07T00:00:00+00:00,747.9836950800000000000000000000,553.090328876197845859000000000000000000,808.7265058900000000000000000000,0.3545281577564715,0.26215290073726427,0.3833189415062642,0.33
2022-08-06T00:00:00+00:00,747.9836950800000000000000000000,553.090328876197845859000000000000000000,810.9154972000000000000000000000,0.35416070372854885,0.26188118990922427,0.3839581063622269,0.33
2022-08-05T00:00:00+00:00,759.5022593400000000000000000000,553.090328876197845859000000000000000000,820.3586126900000000000000000000,0.3560804668279896,0.25930754001367395,0.3846119931583364,0.33
2022-08-04T00:00:00+00:00,726.6021330100000000000000000000,595.417099381293753359000000000000000000,815.5888509900000000000000000000,0.33991363461755447,0.27854362266419574,0.3815427427182498,0.33
2022-08-03T00:00:00+00:00,747.7629908800000000000000000000,566.413655269184757759000000000000000000,807.8742794900000000000000000000,0.35237749567898125,0.2669180312430885,0.38070447307793026,0.33
2022-08-02T00:00:00+00:00,765.7632041100000000000000000000,507.124489893677670919000000000000000000,848.6837880800000000000000000000,0.360941505189311,0.2390324786019517,0.4000260162087373,0.33
2022-08-01T00:00:00+00:00,748.3369912900000000000000000000,507.124489893677670919000000000000000000,865.7953014400000000000000000000,0.35278001108588986,0.23906794031151687,0.4081520486025933,0.33
2022-07-31T00:00:00+00:00,736.4717837800000000000000000000,507.117726387815341615000000000000000000,862.7462810500000000000000000000,0.3496459523930872,0.24075825350459257,0.4095957941023202,0.33
2022-07-30T00:00:00+00:00,723.7597703000000000000000000000,499.641069994141046915000000000000000000,881.4930273600000000000000000000,0.34384620594035686,0.23737114619987004,0.4187826478597731,0.33
2022-07-29T00:00:00+00:00,705.1715708100000000000000000000,498.846949475069561614000000000000000000,901.5979841300000000000000000000,0.334900286605558,0.2369125376957695,0.4281871756986725,0.33
2022-07-28T00:00:00+00:00,743.6527309200000000000000000000,445.489653633374155314000000000000000000,947.7434833400000000000000000000,0.34800769760021016,0.20847611017829198,0.44351619222149785,0.33
2022-07-27T00:00:00+00:00,685.0889274000000000000000000000,481.874122696927766224000000000000000000,920.7662483200000000000000000000,0.3281502673356577,0.2308125498177952,0.4410371828465471,0.33
2022-07-26T00:00:00+00:00,691.6894694300000000000000000000,460.810108584780212956000000000000000000,904.4487291200000000000000000000,0.33626973853975295,0.22402610069801132,0.43970416076223573,0.33
2022-07-25T00:00:00+00:00,733.9136822500000000000000000000,447.729488228399691434000000000000000000,825.4026300500000000000000000000,0.3656686270222537,0.2230788595409855,0.4112525134367608,0.33
2022-07-24T00:00:00+00:00,705.6040855900000000000000000000,447.729488237609806134000000000000000000,843.1215261100000000000000000000,0.35342847711027936,0.22426223772906367,0.42230928516065697,0.33
2022-07-23T00:00:00+00:00,689.9625914100000000000000000000,436.583437467019490635000000000000000000,864.5943864600000000000000000000,0.34651629091322383,0.2192630083263734,0.43422070076040276,0.33
2022-07-22T00:00:00+00:00,683.8027694700000000000000000000,448.922209012846186831000000000000000000,854.8832322000000000000000000000,0.3440329768184437,0.22586051244908986,0.4301065107324664,0.33
2022-07-21T00:00:00+00:00,655.3907125600000000000000000000,462.305607061265626031000000000000000000,869.1233327000000000000000000000,0.32986925199490846,0.23268624634407006,0.4374445016610215,0.33
2022-07-20T00:00:00+00:00,588.4780157200000000000000000000,480.996750261804780431000000000000000000,864.1390280800000000000000000000,0.30434103104106747,0.24875533663390412,0.4469036323250284,0.33
2022-07-19T00:00:00+00:00,593.2655580400000000000000000000,457.344788595114387803000000000000000000,880.5739782100000000000000000000,0.30720296887640763,0.2368208889805454,0.45597614214304694,0.33
2022-07-18T00:00:00+00:00,616.0018529600000000000000000000,450.321417587628878904000000000000000000,864.8744378200000000000000000000,0.3189739974788412,0.23318245233848645,0.4478435501826723,0.33
2022-07-17T00:00:00+00:00,604.6070562800000000000000000000,486.989161785051815604000000000000000000,844.7228109600000000000000000000,0.3122455789655815,0.2515025439946504,0.4362518770397681,0.33
2022-07-16T00:00:00+00:00,587.8124328700000000000000000000,515.122292533137945204000000000000000000,834.6166602300000000000000000000,0.3033790160243514,0.2658625192357468,0.4307584647399018,0.33
2022-07-15T00:00:00+00:00,537.9513598700000000000000000000,543.935016145735781804000000000000000000,849.8117953900000000000000000000,0.2784862396378011,0.28158385414316733,0.4399299062190315,0.33
2022-07-14T00:00:00+00:00,633.2449145400000000000000000000,492.644862145002329370000000000000000000,900.4957152700000000000000000000,0.3124997277438373,0.24311507563633009,0.4443851966198326,0.33
2022-07-13T00:00:00+00:00,659.7167768700000000000000000000,496.299513631624055370000000000000000000,855.8878995200000000000000000000,0.3279066568586993,0.24668148517862065,0.42541185796268005,0.33
2022-07-12T00:00:00+00:00,680.7305051500000000000000000000,549.984347369803852016000000000000000000,780.9103239200000000000000000000,0.3383982827033236,0.2734029946588619,0.38819872263781446,0.33
2022-07-11T00:00:00+00:00,774.9308815300000000000000000000,494.279954532353288768000000000000000000,753.4932746900000000000000000000,0.38311628349920207,0.2443659217899665,0.37251779471083146,0.33
