date,pool_name,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-10-16,av3CRV:BTC:WETH,av3CRV,28120494.25,BTC,933.4464339,WETH,7389.328393,n/a,0,28128817.024826903,Avalanche,Curve,V2,n/a
2021-10-16,avDAI:avUSDC:avUSDT,avDAI,140976655.4,avUSDC,210772874.4,avUSDT,190951423.9,n/a,0,542700953.7,Avalanche,Curve,V2,n/a
2021-10-16,av3CRV:WETH:BTC,av3CRV,28120494.25,WETH,28601580.92,BTC,57218032.12,n/a,0,113940107.28999999,Avalanche,Curve,V2,n/a
2021-10-17,av3CRV:WETH:BTC,av3CRV,28033605.82,WETH,27886453.6,BTC,55024054.12,n/a,0,110944113.53999999,Avalanche,Curve,V2,n/a
2021-10-17,av3CRV:BTC:WETH,av3CRV,28033605.82,BTC,904.2778975,WETH,7264.563284,n/a,0,28041774.6611815,Avalanche,Curve,V2,n/a
2021-10-17,avDAI:avUSDC:avUSDT,avDAI,146567303.8,avUSDC,211536281.7,avUSDT,187082281.7,n/a,0,545185867.2,Avalanche,Curve,V2,n/a
2021-10-18,av3CRV:BTC:WETH,av3CRV,26973748.87,BTC,871.0492849,WETH,7247.026317,n/a,0,26981866.945601903,Avalanche,Curve,V2,n/a
2021-10-18,av3CRV:WETH:BTC,av3CRV,26973748.87,WETH,27478825.98,BTC,53844019.76,n/a,0,108296594.61,Avalanche,Curve,V2,n/a
2021-10-18,avDAI:avUSDC:avUSDT,avDAI,147584975.2,avUSDC,202969244.7,avUSDT,178089854.6,n/a,0,528644074.5,Avalanche,Curve,V2,n/a
2021-10-19,av3CRV:WETH:BTC,av3CRV,27548907.62,WETH,26912278.23,BTC,53730444.73,n/a,0,108191630.58,Avalanche,Curve,V2,n/a
2021-10-19,avDAI:avUSDC:avUSDT,avDAI,151032193.2,avUSDC,207086682.8,avUSDT,171395166.8,n/a,0,529514042.8,Avalanche,Curve,V2,n/a
2021-10-19,av3CRV:BTC:WETH,av3CRV,27548907.62,BTC,856.406879,WETH,7074.427704,n/a,0,27556838.454583,Avalanche,Curve,V2,n/a
2021-10-20,av3CRV:WETH:BTC,av3CRV,26525949.1,WETH,25089405.06,BTC,52089162.84,n/a,0,103704517.0,Avalanche,Curve,V2,n/a
2021-10-20,av3CRV:BTC:WETH,av3CRV,26525949.1,BTC,801.5930026,WETH,6357.763905,n/a,0,26533108.4569076,Avalanche,Curve,V2,n/a
2021-10-20,avDAI:avUSDC:avUSDT,avDAI,154322123.2,avUSDC,208124730.3,avUSDT,152060807.8,n/a,0,514507661.3,Avalanche,Curve,V2,n/a
2021-10-21,av3CRV:BTC:WETH,av3CRV,24449464.85,BTC,792.4742937,WETH,6071.658391,n/a,0,24456328.9826847,Avalanche,Curve,V2,n/a
2021-10-21,av3CRV:WETH:BTC,av3CRV,24449464.85,WETH,25120904.94,BTC,51026509.67,n/a,0,100596879.46000001,Avalanche,Curve,V2,n/a
2021-10-21,avDAI:avUSDC:avUSDT,avDAI,156599546.4,avUSDC,196082426.7,avUSDT,147910662.2,n/a,0,500592635.3,Avalanche,Curve,V2,n/a
2021-10-22,av3CRV:BTC:WETH,av3CRV,25090656.04,BTC,825.5296715,WETH,6275.485403,n/a,0,25097757.0550745,Avalanche,Curve,V2,n/a
2021-10-22,avDAI:avUSDC:avUSDT,avDAI,160116672.1,avUSDC,202453662.4,avUSDT,155337403.2,n/a,0,517907737.7,Avalanche,Curve,V2,n/a
