id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19178,15085613,1657065506,6537692409.579767394355861675164142,,,96730.76209201231849223248039291417,6884.559816629775346506239496218923,103615.3219086420938387387198891334,6537692409.579767394355861675164142,1688534417.316608672474184079398438,153591582.4762965367357896584954873,63309099.89010394087758295067825395,3355.615310564847254373386480173096,61949978.12546450202161277340955697,1160202.380365575350498194979437673,2022-07-05,V2,Ethereum,aave_v2_ethereum,Aave
19179,15092099,1657151963,6692054182.835918642502345568444651,,,98699.02776738111906955498547963092,8071.622398945166653111954935769774,106770.6501663262857226669404154008,6692054182.835918642502345568444651,1714883202.92184548315591935801577,145407686.5733987504368355240198256,87231907.26588983855047524301888559,1362.22317791400336147857855455178,62234647.47461954307894226896988089,1458324.6782687880191309908594421,2022-07-06,V2,Ethereum,aave_v2_ethereum,Aave
19180,15098510,1657238303,6839325366.524312417582801451680802,,,97276.94766079982334788764416079485,8618.842507875636800963300251244217,105895.7901686754601488509444120392,6839325366.524312417582801451680802,1723517470.660898381652943550444682,81579220.38202951445632129994344187,43952624.48364915631630950704929074,9886.904135012419569270239136939716,70978862.90016604623962512498022465,742557.7882719707604086282268891116,2022-07-07,V2,Ethereum,aave_v2_ethereum,Aave
19181,15105059,1657324623,6315172512.223640745875186655780017,,,106846.9862995233474552554689053919,9530.915994989663558026465616309256,116377.9022945130110132819345217012,6315172512.223640745875186655780017,1689401461.415820275820304065202381,61568628.68300463247615304791795882,31098398.70450933915219525047997437,5527.33079728341939239334978946829,537252189.41916844375633819309133,1410633.019469080706346006372262699,2022-07-08,V2,Ethereum,aave_v2_ethereum,Aave
19182,15111479,1657411108,6270797962.594062012603432180991995,,,97912.88161236224466750332180556396,8457.231704220412167208475944954082,106370.113316582656834711797750518,6270797962.594062012603432180991995,1690137617.650028399582593966043456,32612032.44468293125565202150157305,17019460.94428806647296759816935134,31532.66732165908777149460804312607,78406114.59401697195453620332625046,7944541.928338537280308773058628835,2022-07-09,V2,Ethereum,aave_v2_ethereum,Aave
19183,15117980,1657497582,6071949579.298774960798727597231391,,,97872.97026808323045806385352906474,8440.163582672019069494299184508855,106313.1338507552495275581527135736,6071949579.298774960798727597231391,1662066352.77009310863627626874564,41930449.08467487784958537761440194,22118915.12447948247271770494550346,32469.9304473299831494917679025649,64619111.472903337650246604698597,876036.3022448540544381127959275035,2022-07-10,V2,Ethereum,aave_v2_ethereum,Aave
19184,15124460,1657583789,5852229931.643166062777953888763416,,,91359.12778021333366214365484872908,8496.534711969573780719493865961911,99855.66249218290744286314871469102,5852229931.643166062777953888763416,1555054143.887389478265922975268482,25885941.42409299102774034802948089,15154691.92472948911802257494504489,4656.509554562657435298020426632421,65533591.34808748331595786196688737,2196312.594491365608529641736772142,2022-07-11,V2,Ethereum,aave_v2_ethereum,Aave
19185,15130959,1657670168,5210346185.161056611388018597740829,,,85607.2081163242704383165236732587,7953.207457013863825239250178851948,93560.41557333813426355577385211073,5210346185.161056611388018597740829,1447264677.693671608534703982702746,95088694.23863291254701426537072839,31975581.39442695315728570003185557,71310.83082160532539739188166682728,538073676.5831598860319870549073283,1725612.368684121570830369654882711,2022-07-12,V2,Ethereum,aave_v2_ethereum,Aave
19186,15137387,1657756796,5317717130.288701598687254902025389,,,86411.79857979568894282642729893552,7873.271060512810837909441779958475,94285.06964030849978073586907889409,5317717130.288701598687254902025389,1495573829.760635368636569161939889,67643277.96699735689745687364689617,59371668.97509726664150558221417377,33764.6676277983242178126310140436,72029522.32350765352129055119576652,3053126.676831683702723945437477876,2022-07-13,V2,Ethereum,aave_v2_ethereum,Aave
19187,15143909,1657842935,5521210130.894941540288491464869576,,,96884.61456178707017576016047158718,8843.516295497575481000923902932975,105728.1308572846456567610843745202,5521210130.894941540288491464869576,1540791609.450356616697447140007864,163052332.7560606296063647481568298,44644758.63091897177343499919736539,9264.96988861294638653556173400372,101988645.2048635374276231643235599,1936845.999934582922599798363436361,2022-07-14,V2,Ethereum,aave_v2_ethereum,Aave
