,Date,Timestamp,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance
,03/12/2021,1638489600,,10008088.316110618,10008088.316110618,,,2907037.5693470254,2925641.2018302428,1945953.6634444103,2229455.881488941,,,,,,,,,,,,,,2907037.5693470254,2925641.2018302428,1945953.6634444103,2229455.881488941,,,,,,,,,,,,,,,,2909176.734789,2925149.1897135577,1941741.565799,2226012.589290303,,,,,,,,,,,,,,2909176.734789,2925149.1897135577,1941741.565799,2226012.589290303,,,,,,,,,,,,,,
,04/12/2021,1638576000,,10015305.44437061,10015305.44437061,,,2511158.3508347394,3128264.01229313,2289098.2670695875,2086784.8141731536,,,,,,,,,,,,,,2511158.3508347394,3128264.01229313,2289098.2670695875,2086784.8141731536,,,,,,,,,,,,,,,,2511607.157214,3121572.3949629725,2287625.779109,2081811.3603470135,,,,,,,,,,,,,,2511607.157214,3121572.3949629725,2287625.779109,2081811.3603470135,,,,,,,,,,,,,,
,05/12/2021,1638662400,,10000941.880068485,10000941.880068485,,,2881852.9541751067,3016970.387348059,2143496.674400101,1958621.8641452168,,,,,,,,,,,,,,2881852.9541751067,3016970.387348059,2143496.674400101,1958621.8641452168,,,,,,,,,,,,,,,,2881439.977794,3014985.559207663,2144857.186075,1962450.3371951052,,,,,,,,,,,,,,2881439.977794,3014985.559207663,2144857.186075,1962450.3371951052,,,,,,,,,,,,,,
,06/12/2021,1638748800,,10007130.1795202,10007130.1795202,,,2929671.2641593725,2978539.8745879256,1978199.470744343,2120719.570028558,,,,,,,,,,,,,,2929671.2641593725,2978539.8745879256,1978199.470744343,2120719.570028558,,,,,,,,,,,,,,,,2932434.854871,2982839.4485622006,1982181.650438,2106200.5701226043,,,,,,,,,,,,,,2932434.854871,2982839.4485622006,1982181.650438,2106200.5701226043,,,,,,,,,,,,,,
,07/12/2021,1638835200,,10119175.46382856,10119175.46382856,,,3109651.3477070024,2989284.9469575835,2025644.5315949207,1994594.637569053,,,,,,,,,,,,,,3109651.3477070024,2989284.9469575835,2025644.5315949207,1994594.637569053,,,,,,,,,,,,,,,,3080448.712794,2960640.1715572868,1999537.427951,1963578.5816647932,,,,,,,,,,,,,,3080448.712794,2960640.1715572868,1999537.427951,1963578.5816647932,,,,,,,,,,,,,,
,08/12/2021,1638921600,,10022992.552193925,10022992.552193925,,,3294064.195154,2876130.010745648,1987620.006073,1865178.3402212758,,,,,,,,,,,,,,3294064.195154,2876130.010745648,1987620.006073,1865178.3402212758,,,,,,,,,,,,,,,,3294064.195154,2876130.010745648,1987620.006073,1846711.2279418572,,,,,,,,,,,,,,3294064.195154,2876130.010745648,1987620.006073,1846711.2279418572,,,,,,,,,,,,,,
,09/12/2021,1639008000,,10003474.662811115,10003474.662811115,,,3302474.8044395973,2884482.7831197223,1986163.9556037176,1830353.1196480766,,,,,,,,,,,,,,3302474.8044395973,2884482.7831197223,1986163.9556037176,1830353.1196480766,,,,,,,,,,,,,,,,3303194.900928,2884603.9364850544,1986469.871964,1830353.1196480766,,,,,,,,,,,,,,3303194.900928,2884603.9364850544,1986469.871964,1830353.1196480766,,,,,,,,,,,,,,
,10/12/2021,1639094400,,9993277.67107097,9993277.67107097,,,3088647.509854691,2889922.2191482414,2017903.594089914,1996804.347978124,,,,,,,,,,,,,,3088647.509854691,2889922.2191482414,2017903.594089914,1996804.347978124,,,,,,,,,,,,,,,,3090520.365196,2895487.3458269206,2021748.960613,1996804.347978124,,,,,,,,,,,,,,3090520.365196,2895487.3458269206,2021748.960613,1996804.347978124,,,,,,,,,,,,,,
,11/12/2021,1639180800,,9985213.948852317,9985213.948852317,,,3013313.454983987,2702862.752839636,2154561.1302621914,2114476.6107665035,,,,,,,,,,,,,,3013313.454983987,2702862.752839636,2154561.1302621914,2114476.6107665035,,,,,,,,,,,,,,,,3025068.872623,2702981.684033734,2162243.581708,2114476.6107665035,,,,,,,,,,,,,,3025068.872623,2702981.684033734,2162243.581708,2114476.6107665035,,,,,,,,,,,,,,
,12/12/2021,1639267200,,9995021.824756898,9995021.824756898,,,3057551.19807734,2690384.823172593,2046879.2716228599,2200206.5318841045,,,,,,,,,,,,,,3057551.19807734,2690384.823172593,2046879.2716228599,2200206.5318841045,,,,,,,,,,,,,,,,3064332.566046,2691598.734201718,2048827.706772,2200206.5318841045,,,,,,,,,,,,,,3064332.566046,2691598.734201718,2048827.706772,2200206.5318841045,,,,,,,,,,,,,,
